StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-01	06:27:16.494762	1427869636.494762;2015-04-01	06:27:16.494762	1427869636.494762;2015-04-01	06:27:16.497671	1427869636.497671;00:00:00;00:00:00;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:27:16.494762	1427869636.494762;2015-04-01	06:27:16.497932	1427869636.497932;2015-04-01	06:27:17.500489	1427869637.500489;00:00:01;00:00:01;70;68.8623;68.6567;0;0;69;69;69;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;68;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:27:16.494762	1427869636.494762;2015-04-01	06:27:17.500589	1427869637.500589;2015-04-01	06:27:18.503543	1427869638.503543;00:00:01;00:00:02;70;70.8583;69.7211;0;0;71;140;140;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;00:00:00:008000;00:00:00:005000;00:00:00:058000;00:00:00:042000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;139;0;0;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;
2015-04-01	06:27:16.494762	1427869636.494762;2015-04-01	06:27:18.503651	1427869638.503651;2015-04-01	06:27:19.505107	1427869639.505107;00:00:01;00:00:03;70;69.9301;69.7674;0;0;70;210;210;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:004000;00:00:00:000000;00:00:00:034000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;209;0;0;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;
2015-04-01	06:27:16.494762	1427869636.494762;2015-04-01	06:27:19.505219	1427869639.505219;2015-04-01	06:27:20.506694	1427869640.506694;00:00:01;00:00:04;70;69.9301;69.808;0;0;70;280;280;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:003000;00:00:00:000000;00:00:00:029000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;279;0;0;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;
2015-04-01	06:27:16.494762	1427869636.494762;2015-04-01	06:27:20.506788	1427869640.506788;2015-04-01	06:27:21.507768	1427869641.507768;00:00:01;00:00:05;70;70;69.8185;0;0;70;350;350;350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:003000;00:00:00:000000;00:00:00:026000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;349;0;0;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;
2015-04-01	06:27:16.494762	1427869636.494762;2015-04-01	06:27:21.526077	1427869641.526077;2015-04-01	06:27:22.510025	1427869642.510025;00:00:00;00:00:06;70;71.2106;69.8254;0;0;70;420;420;420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:003000;00:00:00:000000;00:00:00:024000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;419;0;0;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;
2015-04-01	06:27:16.494762	1427869636.494762;2015-04-01	06:27:22.510127	1427869642.510127;2015-04-01	06:27:23.512159	1427869643.512159;00:00:01;00:00:07;70;69.8603;69.8304;0;0;70;490;490;490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:003000;00:00:00:000000;00:00:00:022000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;489;0;0;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;
2015-04-01	06:27:16.494762	1427869636.494762;2015-04-01	06:27:23.512285	1427869643.512285;2015-04-01	06:27:24.513751	1427869644.513751;00:00:01;00:00:08;70;69.9301;69.8429;0;0;70;560;560;560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:003000;00:00:00:003000;00:00:00:021000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;557;1;1;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;
2015-04-01	06:27:16.494762	1427869636.494762;2015-04-01	06:27:24.513906	1427869644.513906;2015-04-01	06:27:25.515946	1427869645.515946;00:00:01;00:00:09;70;70.8583;69.9479;0;0;71;631;631;631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:003000;00:00:00:000000;00:00:00:019000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;627;1;1;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;
