StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-01	06:48:06.266029	1427870886.266029;2015-04-01	06:48:06.266029	1427870886.266029;2015-04-01	06:48:06.270143	1427870886.270143;00:00:00;00:00:00;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.266029	1427870886.266029;2015-04-01	06:48:06.270441	1427870886.270441;2015-04-01	06:48:07.271052	1427870887.271052;00:00:01;00:00:01;100;99;98.5075;0;0;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;98;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.266029	1427870886.266029;2015-04-01	06:48:07.271230	1427870887.271230;2015-04-01	06:48:08.273798	1427870888.273798;00:00:01;00:00:02;100;100.798;99.6512;0;0;101;200;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;198;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.266029	1427870886.266029;2015-04-01	06:48:08.273947	1427870888.273947;2015-04-01	06:48:09.275340	1427870889.275340;00:00:01;00:00:03;100;99.9001;99.7009;0;0;100;300;300;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;298;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.266029	1427870886.266029;2015-04-01	06:48:09.275589	1427870889.275589;2015-04-01	06:48:10.277110	1427870890.277110;00:00:01;00:00:04;100;99.9001;99.7258;0;0;100;400;400;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:002000;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;399;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.266029	1427870886.266029;2015-04-01	06:48:10.277271	1427870890.277271;2015-04-01	06:48:11.279986	1427870891.279986;00:00:01;00:00:05;100;99.8004;99.7407;0;0;100;500;500;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:002000;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;499;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.266029	1427870886.266029;2015-04-01	06:48:11.312364	1427870891.312364;2015-04-01	06:48:12.281291	1427870892.281291;00:00:00;00:00:06;100;103.306;99.7506;0;0;100;600;600;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:003000;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;599;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.266029	1427870886.266029;2015-04-01	06:48:12.281417	1427870892.281417;2015-04-01	06:48:13.282054	1427870893.282054;00:00:01;00:00:07;100;101;99.9145;0;0;101;701;701;701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:003000;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;698;2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.266029	1427870886.266029;2015-04-01	06:48:13.282182	1427870893.282182;2015-04-01	06:48:14.287925	1427870894.287925;00:00:01;00:00:08;100;99.5025;99.8629;0;0;100;801;801;800;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;2;2;0;0;0;0;0;0;00:00:00:005000;00:00:00:003000;00:00:00:002000;00:00:00:001000;00:00:00:007000;00:00:00:007000;2562047788015:12:55:808000;2562047788015:12:55:808000;;795;5;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;0;
2015-04-01	06:48:06.266029	1427870886.266029;2015-04-01	06:48:14.288586	1427870894.288586;2015-04-01	06:48:15.289289	1427870895.289289;00:00:01;00:00:09;100;100;99.8559;0;0;100;901;901;900;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;0;0;0;0;0;0;00:00:00:005000;00:00:00:003000;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:007000;00:00:00:000000;2562047788015:12:55:808000;;893;8;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;0;
