StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-01	09:17:32.447128	1427879852.447128;2015-04-01	09:17:32.447128	1427879852.447128;2015-04-01	09:17:32.451130	1427879852.451130;00:00:00;00:00:00;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.447128	1427879852.447128;2015-04-01	09:17:32.451439	1427879852.451439;2015-04-01	09:17:33.453515	1427879853.453515;00:00:01;00:00:01;30;29.9401;29.8211;0;0;30;30;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;29;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.447128	1427879852.447128;2015-04-01	09:17:33.453619	1427879853.453619;2015-04-01	09:17:34.454988	1427879854.454988;00:00:01;00:00:02;30;29.97;29.8954;0;0;30;60;60;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;59;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.447128	1427879852.447128;2015-04-01	09:17:34.455086	1427879854.455086;2015-04-01	09:17:35.456437	1427879855.456437;00:00:01;00:00:03;30;29.97;29.9103;0;0;30;90;90;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;90;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.447128	1427879852.447128;2015-04-01	09:17:35.456579	1427879855.456579;2015-04-01	09:17:36.457491	1427879856.457491;00:00:01;00:00:04;30;30;29.9252;0;0;30;120;120;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:016000;00:00:00:005000;00:00:00:017000;00:00:00:010000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;3;2;2;2;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.447128	1427879852.447128;2015-04-01	09:17:36.457692	1427879856.457692;2015-04-01	09:17:37.459051	1427879857.459051;00:00:01;00:00:05;30;29.97;29.9341;0;0;30;150;150;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:155000;00:00:00:029000;00:00:00:061000;00:00:00:061000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;3;2;2;7;6;6;6;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.447128	1427879852.447128;2015-04-01	09:17:37.488056	1427879857.488056;2015-04-01	09:17:38.460040	1427879858.460040;00:00:00;00:00:06;30;30.896;29.9401;0;0;30;180;180;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;00:00:00:379000;00:00:00:082000;00:00:00:187000;00:00:00:155000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;3;2;2;7;6;6;31;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.447128	1427879852.447128;2015-04-01	09:17:38.460170	1427879858.460170;2015-04-01	09:17:39.463059	1427879859.463059;00:00:01;00:00:07;30;29.9401;29.9359;0;0;30;210;210;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;48;0;0;0;0;0;0;0;0;0;0;00:00:00:564000;00:00:00:127000;00:00:00:400000;00:00:00:235000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;3;2;2;7;6;6;48;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.447128	1427879852.447128;2015-04-01	09:17:39.463226	1427879859.463226;2015-04-01	09:17:40.465520	1427879860.465520;00:00:01;00:00:08;30;29.9401;29.9327;0;0;30;240;240;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;96;0;0;0;0;0;0;0;0;0;0;00:00:00:676000;00:00:00:200000;00:00:00:522000;00:00:00:343000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;3;2;2;7;6;6;76;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.447128	1427879852.447128;2015-04-01	09:17:40.465638	1427879860.465638;2015-04-01	09:17:41.466101	1427879861.466101;00:00:01;00:00:09;30;30;29.9401;0;0;30;270;270;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;150;0;0;0;0;0;0;0;0;0;0;00:00:00:616000;00:00:00:249000;00:00:00:532000;00:00:00:392000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;3;2;2;7;6;6;104;;0;0;0;0;0;0;0;0;
