StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:32.514771	1427879852.514771;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:32.515109	1427879852.515109;2015-04-01	09:17:33.517779	1427879853.517779;00:00:01;00:00:01;10;28.9421;28.8845;29;29;0;0;29;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;29;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:33.517937	1427879853.517937;2015-04-01	09:17:34.520640	1427879854.520640;00:00:01;00:00:02;10;29.9401;29.3971;30;59;0;0;59;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;59;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:34.520792	1427879854.520792;2015-04-01	09:17:35.523209	1427879855.523209;00:00:01;00:00:03;10;30.9381;29.9003;31;90;0;0;90;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;90;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:35.523309	1427879855.523309;2015-04-01	09:17:36.524236	1427879856.524236;00:00:01;00:00:04;10;28;29.4191;28;118;0;0;118;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:013000;00:00:00:003000;00:00:00:016000;00:00:00:009000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;1;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:36.524362	1427879856.524362;2015-04-01	09:17:37.524668	1427879857.524668;00:00:01;00:00:05;10;23;28.1381;23;141;0;0;141;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:151000;00:00:00:024000;00:00:00:062000;00:00:00:057000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;6;5;4;5;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:37.554243	1427879857.554243;2015-04-01	09:17:38.527763	1427879858.527763;00:00:00;00:00:06;10;25.6937;27.6023;25;166;0;0;166;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;00:00:00:398000;00:00:00:062000;00:00:00:208000;00:00:00:140000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;6;5;4;20;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:38.527874	1427879858.527874;2015-04-01	09:17:39.529395	1427879859.529395;00:00:01;00:00:07;10;16.983;26.0832;17;183;0;0;183;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;21;0;0;0;0;0;0;0;0;0;0;00:00:00:548000;00:00:00:108000;00:00:00:409000;00:00:00:231000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;6;5;4;36;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:39.529512	1427879859.529512;2015-04-01	09:17:40.530731	1427879860.530731;00:00:01;00:00:08;10;27.972;26.3191;28;211;0;0;211;211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;43;0;0;0;0;0;0;0;0;0;0;00:00:00:521000;00:00:00:130000;00:00:00:264000;00:00:00:250000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;6;5;4;45;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:40.531924	1427879860.531924;2015-04-01	09:17:41.532535	1427879861.532535;00:00:01;00:00:09;10;28;26.4996;28;239;0;0;239;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;72;0;0;0;0;0;0;0;0;0;0;00:00:00:742000;00:00:00:214000;00:00:00:762000;00:00:00:420000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;6;5;4;73;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:41.532643	1427879861.532643;2015-04-01	09:17:42.534452	1427879862.534452;00:00:01;00:00:10;10;23.976;26.2449;24;263;0;0;263;263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;98;0;0;0;0;0;0;0;0;0;0;00:00:00:986000;00:00:00:277000;00:00:01:166000;00:00:00:558000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;6;5;4;91;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:42.567743	1427879862.567743;2015-04-01	09:17:43.535419	1427879863.535419;00:00:00;00:00:11;10;29.9897;26.4925;29;292;0;0;292;292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;133;0;0;0;0;0;0;0;0;0;0;00:00:01:072000;00:00:00:364000;00:00:00:995000;00:00:00:666000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;6;5;4;118;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:43.535549	1427879863.535549;2015-04-01	09:17:44.535642	1427879864.535642;00:00:01;00:00:12;10;19;25.8692;19;311;0;0;311;311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;160;0;0;0;0;0;0;0;0;0;0;00:00:00:722000;00:00:00:392000;00:00:00:508000;00:00:00:661000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;6;5;4;139;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:44.535836	1427879864.535836;2015-04-01	09:17:45.538681	1427879865.538681;00:00:01;00:00:13;10;16.9661;25.1823;17;328;0;0;328;328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;190;0;0;0;0;0;0;0;0;0;0;00:00:01:062000;00:00:00:422000;00:00:01:014000;00:00:00:693000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;6;5;4;152;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:45.538897	1427879865.538897;2015-04-01	09:17:46.541110	1427879866.541110;00:00:01;00:00:14;10;20.9581;24.8806;21;349;0;0;349;349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;216;0;0;0;0;0;0;0;0;0;0;00:00:01:141000;00:00:00:454000;00:00:01:298000;00:00:00:741000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;6;5;4;165;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:46.541337	1427879866.541337;2015-04-01	09:17:47.542994	1427879867.542994;00:00:01;00:00:15;10;23.976;24.8187;24;373;0;0;373;373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;260;0;0;0;0;0;0;0;0;0;0;00:00:01:205000;00:00:00:481000;00:00:01:045000;00:00:00:765000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;6;5;4;176;;0;0;0;0;0;0;0;0;
2015-04-01	09:17:32.513167	1427879852.513167;2015-04-01	09:17:47.543134	1427879867.543134;2015-04-01	09:17:48.545674	1427879868.545674;00:00:01;00:00:16;10;22.9541;24.7006;23;396;0;0;396;396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;295;0;0;0;0;0;0;0;0;0;0;00:00:01:258000;00:00:00:513000;00:00:02:185000;00:00:00:875000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;105;4;2;2;2;6;5;4;189;;0;0;0;0;0;0;0;0;
