StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:43.455078	1427868643.455078;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:43.455509	1427868643.455509;2015-04-01	06:10:44.457845	1427868644.457845;00:00:01;00:00:01;10;8.98204;8.96414;9;9;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;9;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:44.457961	1427868644.457961;2015-04-01	06:10:45.459095	1427868645.459095;00:00:01;00:00:02;10;9.99001;9.47631;10;19;0;0;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;19;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:45.459237	1427868645.459237;2015-04-01	06:10:46.461369	1427868646.461369;00:00:01;00:00:03;10;9.98004;9.64416;10;29;0;0;29;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;29;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:46.461485	1427868646.461485;2015-04-01	06:10:47.463530	1427868647.463530;00:00:01;00:00:04;10;10.978;9.97506;11;40;0;0;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;39;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:47.463752	1427868647.463752;2015-04-01	06:10:48.465019	1427868648.465019;00:00:01;00:00:05;10;9.99001;9.97805;10;50;0;0;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;49;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:48.465186	1427868648.465186;2015-04-01	06:10:49.466057	1427868649.466057;00:00:01;00:00:06;10;10;9.98004;10;60;0;0;60;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;60;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:49.466207	1427868649.466207;2015-04-01	06:10:50.468635	1427868650.468635;00:00:01;00:00:07;10;9.98004;9.97862;10;70;0;0;70;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;70;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:50.468755	1427868650.468755;2015-04-01	06:10:51.470398	1427868651.470398;00:00:01;00:00:08;10;9.99001;9.98004;10;80;0;0;80;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;80;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:51.470514	1427868651.470514;2015-04-01	06:10:52.472946	1427868652.472946;00:00:01;00:00:09;10;9.98004;9.97893;10;90;0;0;90;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;90;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:52.473058	1427868652.473058;2015-04-01	06:10:53.474060	1427868653.474060;00:00:01;00:00:10;10;9.99001;9.98004;10;100;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;100;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:53.474243	1427868653.474243;2015-04-01	06:10:54.476563	1427868654.476563;00:00:01;00:00:11;10;9.98004;9.97913;10;110;0;0;110;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;110;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:54.476701	1427868654.476701;2015-04-01	06:10:55.478110	1427868655.478110;00:00:01;00:00:12;10;9.99001;9.98004;10;120;0;0;120;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;120;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:55.478275	1427868655.478275;2015-04-01	06:10:56.480693	1427868656.480693;00:00:01;00:00:13;10;9.98004;9.97927;10;130;0;0;130;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;130;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:56.480793	1427868656.480793;2015-04-01	06:10:57.481559	1427868657.481559;00:00:01;00:00:14;10;10;9.98004;10;140;0;0;140;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;140;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:57.481693	1427868657.481693;2015-04-01	06:10:58.482436	1427868658.482436;00:00:01;00:00:15;10;10;9.98137;10;150;0;0;150;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;150;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:58.482557	1427868658.482557;2015-04-01	06:10:59.484859	1427868659.484859;00:00:01;00:00:16;10;9.98004;9.98066;10;160;0;0;160;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;160;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:10:43.453478	1427868643.453478;2015-04-01	06:10:59.485005	1427868659.485005;2015-04-01	06:11:00.485396	1427868660.485396;00:00:01;00:00:17;10;10;9.9818;10;170;0;0;170;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;170;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
