StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-01	06:48:06.340525	1427870886.340525;2015-04-01	06:48:06.340525	1427870886.340525;2015-04-01	06:48:06.342694	1427870886.342694;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.340525	1427870886.340525;2015-04-01	06:48:06.343437	1427870886.343437;2015-04-01	06:48:07.345383	1427870887.345383;00:00:01;00:00:01;10;297.702;296.813;298;298;0;0;298;298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;296;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.340525	1427870886.340525;2015-04-01	06:48:07.345536	1427870887.345536;2015-04-01	06:48:08.346745	1427870888.346745;00:00:01;00:00:02;10;301.698;299.103;302;600;0;0;600;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:002000;00:00:00:040000;00:00:00:029000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;596;0;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.340525	1427870886.340525;2015-04-01	06:48:08.346908	1427870888.346908;2015-04-01	06:48:09.347776	1427870889.347776;00:00:01;00:00:03;10;300;299.302;300;900;0;0;900;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:002000;00:00:00:000000;00:00:00:023000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;896;0;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.340525	1427870886.340525;2015-04-01	06:48:09.348001	1427870889.348001;2015-04-01	06:48:10.349773	1427870890.349773;00:00:01;00:00:04;10;300.699;299.576;301;1201;0;0;1201;1201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:002000;00:00:00:000000;00:00:00:020000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;1198;0;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.340525	1427870886.340525;2015-04-01	06:48:10.350071	1427870890.350071;2015-04-01	06:48:11.352164	1427870891.352164;00:00:01;00:00:05;10;298.403;299.341;299;1500;0;0;1500;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:001000;00:00:00:018000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;1498;0;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.340525	1427870886.340525;2015-04-01	06:48:11.378970	1427870891.378970;2015-04-01	06:48:12.353759	1427870892.353759;00:00:00;00:00:06;10;309.035;299.518;301;1801;0;0;1801;1801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:001000;00:00:00:016000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;1798;0;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.340525	1427870886.340525;2015-04-01	06:48:12.353969	1427870892.353969;2015-04-01	06:48:13.355257	1427870893.355257;00:00:01;00:00:07;10;299.7;299.544;300;2101;0;0;2101;2101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:002000;00:00:00:001000;00:00:00:015000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;2098;1;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.340525	1427870886.340525;2015-04-01	06:48:13.355443	1427870893.355443;2015-04-01	06:48:14.356945	1427870894.356945;00:00:01;00:00:08;10;301.698;299.775;302;2403;0;0;2403;2403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:002000;00:00:00:002000;00:00:00:014000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;2396;2;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;
2015-04-01	06:48:06.340525	1427870886.340525;2015-04-01	06:48:14.357065	1427870894.357065;2015-04-01	06:48:15.357664	1427870895.357664;00:00:01;00:00:09;10;300;299.767;300;2703;0;0;2703;2703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:002000;00:00:00:001000;00:00:00:013000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;2694;5;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;
