StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-28	22:43:38.950617	1430261018.950617;2015-04-28	22:43:38.950617	1430261018.950617;2015-04-28	22:43:38.953723	1430261018.953723;00:00:00;00:00:00;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-28	22:43:38.950617	1430261018.950617;2015-04-28	22:43:38.954266	1430261018.954266;2015-04-28	22:43:40.955205	1430261020.955205;00:00:02;00:00:02;2000;1990;1986.03;0;0;3980;3980;3980;3965;0;0;15;15;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;0;0;30;30;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:000000;;3978;0;0;0;0;0;0;0;0;;15;0;0;0;0;0;0;0;
2015-04-28	22:43:38.950617	1430261018.950617;2015-04-28	22:43:40.955278	1430261020.955278;2015-04-28	22:43:42.956344	1430261022.956344;00:00:02;00:00:04;2000;1999;1992.51;0;0;4000;7980;7980;7950;0;0;15;30;0;0;0;0;0;0;0;0;15;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;30;0;0;0;0;30;60;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:002000;00:00:00:001000;00:00:00:001000;;7974;0;0;0;0;0;0;0;0;;30;0;0;0;0;0;0;0;
2015-04-28	22:43:38.950617	1430261018.950617;2015-04-28	22:43:42.956424	1430261022.956424;2015-04-28	22:43:44.957501	1430261024.957501;00:00:02;00:00:06;2000;1997;1994.01;0;0;3996;11976;11976;8021;3891;3891;34;64;0;0;0;0;0;0;0;0;34;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;61;375;375;0;0;65;125;0;0;0;0;0;0;00:00:00:026000;00:00:00:009000;00:00:00:105000;00:00:00:061000;00:00:03:978000;00:00:03:948000;00:00:00:371000;00:00:00:506000;;11564;31;0;0;0;0;0;0;175;;61;0;0;0;3;3891;0;0;
2015-04-28	22:43:38.950617	1430261018.950617;2015-04-28	22:43:44.957578	1430261024.957578;2015-04-28	22:43:46.958600	1430261026.958600;00:00:02;00:00:08;2000;1994;1994.01;0;0;3990;15966;15966;7911;4049;7940;51;115;0;0;0;0;0;0;0;0;51;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;115;418;793;0;0;105;230;0;0;0;0;0;0;00:00:00:034000;00:00:00:016000;00:00:00:167000;00:00:00:101000;00:00:03:966000;00:00:03:957000;00:00:00:453000;00:00:00:479000;;15553;31;0;0;0;0;0;0;374;;111;0;0;0;4;7931;9;0;
2015-04-28	22:43:38.950617	1430261018.950617;2015-04-28	22:43:46.958785	1430261026.958785;2015-04-28	22:43:48.959596	1430261028.959596;00:00:02;00:00:10;2000;1997.5;1994.5;0;0;3995;19961;19961;8148;3736;11676;22;137;0;0;0;0;0;0;0;0;22;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;138;97;890;0;0;45;275;0;0;0;0;0;0;00:00:00:008000;00:00:00:014000;00:00:00:051000;00:00:00:093000;00:00:04:010000;00:00:03:974000;00:00:00:323000;00:00:00:437000;;19438;43;0;0;0;0;0;0;415;;131;0;0;0;6;11667;9;0;
2015-04-28	22:43:38.950617	1430261018.950617;2015-04-28	22:43:48.975560	1430261028.975560;2015-04-28	22:43:50.962216	1430261030.962216;00:00:01;00:00:12;2000;2011.08;1994.42;0;0;3994;23955;23955;8126;4008;15684;8;145;0;0;0;0;0;0;0;0;8;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;143;1316;2206;0;0;13;288;0;0;0;0;0;0;00:00:00:082000;00:00:00:025000;00:00:00:202000;00:00:00:119000;00:00:04:058000;00:00:03:995000;00:00:00:278000;00:00:00:404000;;22545;43;12;2;0;0;0;0;930;;138;0;0;0;7;15633;51;0;
2015-04-28	22:43:38.950617	1430261018.950617;2015-04-28	22:43:50.962328	1430261030.962328;2015-04-28	22:43:52.964310	1430261032.964310;00:00:02;00:00:14;2000;1999;1994.93;0;0;4000;27955;27955;8474;3641;19325;11;156;0;0;0;0;0;0;0;0;11;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;155;4400;6606;0;0;23;311;0;0;0;0;0;0;00:00:00:285000;00:00:00:057000;00:00:00:413000;00:00:00:201000;00:00:04:112000;00:00:04:017000;00:00:00:351000;00:00:00:397000;;24437;65;12;2;0;0;0;0;2307;;143;0;0;0;13;19187;138;0;
2015-04-28	22:43:38.950617	1430261018.950617;2015-04-28	22:43:52.964394	1430261032.964394;2015-04-28	22:43:54.965532	1430261034.965532;00:00:02;00:00:16;2000;1995.5;1995;0;0;3993;31948;31948;8611;3822;23147;34;190;0;0;0;0;0;0;0;0;34;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;188;5905;12511;0;0;67;378;0;0;0;0;0;0;00:00:00:458000;00:00:00:115000;00:00:00:717000;00:00:00:359000;00:00:04:262000;00:00:04:058000;00:00:00:639000;00:00:00:455000;;26828;137;33;2;8;6;0;0;4349;;167;0;0;0;19;22648;503;0;
2015-04-28	22:43:38.950617	1430261018.950617;2015-04-28	22:43:54.965663	1430261034.965663;2015-04-28	22:43:56.968541	1430261036.968541;00:00:02;00:00:18;2000;1991.01;1994.45;0;0;3986;35934;35934;9092;3471;26618;34;224;0;0;0;0;0;0;0;0;34;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;230;1928;14439;0;0;76;454;0;0;0;0;0;0;00:00:00:268000;00:00:00:134000;00:00:00:791000;00:00:00:439000;00:00:04:374000;00:00:04:099000;00:00:00:758000;00:00:00:516000;;30477;156;33;2;8;6;0;0;5110;;194;0;0;0;24;25676;947;1;
