Date_ms;response_time_ms;rtd_no
10.013;7.969;1
10.322;7.149;1
10.509;7.331;1
10.562;4.91;1
10.649;7.463;1
10.716;5.056;1
10.801;5.139;1
10.859;5.193;1
10.935;7.747;1
11.882;3.818;1
11.978;3.912;1
12.268;4.2;1
12.347;4.275;1
12.397;4.323;1
12.474;4.397;1
12.982;2.898;1
13.114;3.027;1
13.346;3.249;1
13.664;3.565;1
16.045;3.965;1
16.296;4.21;1
16.362;4.274;1
16.451;4.349;1
18.722;3.853;1
18.969;4.089;1
19.255;4.371;1
19.42;4.533;1
19.479;3.367;1
19.662;3.543;1
19.744;3.623;1
19.924;3.799;1
20.632;1.969;1
20.99;2.323;1
21.075;2.39;1
21.195;2.506;1
22.51;1.939;1
22.741;2.166;1
22.86;2.282;1
22.991;2.41;1
24.333;1.913;1
24.571;2.126;1
24.685;2.214;1
24.804;2.33;1
26.101;1.849;1
26.415;2.159;1
26.509;2.25;1
26.63;2.368;1
28.155;2.101;1
28.391;2.333;1
28.483;2.422;1
28.601;2.537;1
29.89;1.842;1
30.001;1.949;1
30.261;2.19;1
30.382;2.264;1
31.621;1.571;1
32.058;2.003;1
32.326;2.268;1
32.453;2.392;1
34.202;2.093;1
34.442;2.328;1
34.523;2.406;1
34.636;2.516;1
36.42;2.294;1
36.68;2.55;1
36.766;2.633;1
36.882;2.714;1
38.648;2.279;1
38.768;2.395;1
38.835;2.459;1
38.949;2.57;1
40.802;2.69;1
40.975;2.858;1
41.053;2.918;1
41.169;3.029;1
42.461;2.242;1
42.736;2.512;1
42.863;2.636;1
42.978;2.748;1
44.311;1.919;1
44.574;2.177;1
44.757;2.345;1
44.899;2.483;1
46.196;1.932;1
46.539;2.27;1
46.62;2.348;1
46.735;2.46;1
48.039;1.762;1
48.375;2.093;1
48.463;2.162;1
48.584;2.28;1
49.85;1.724;1
50.205;2.075;1
50.627;2.494;1
50.74;2.597;1
52.454;2.313;1
52.971;2.805;1
53.053;2.883;1
53.172;2.999;1
54.709;2.313;1
55.185;2.785;1
55.267;2.864;1
55.39;2.967;1
56.374;1.952;1
56.781;2.354;1
57.012;2.582;1
57.152;2.719;1
58.32;2.008;1
58.616;2.299;1
58.698;2.378;1
58.819;2.496;1
60.719;2.477;1
60.861;2.615;1
61.026;2.777;1
61.138;2.886;1
62.094;2.064;1
62.488;2.454;1
62.568;2.531;1
62.72;2.68;1
64.536;2.489;1
64.868;2.816;1
64.946;2.891;1
65.062;3.004;1
66.667;2.179;1
66.826;2.333;1
66.94;2.444;1
67.056;2.558;1
68.104;1.831;1
68.37;2.092;1
68.488;2.207;1
68.597;2.313;1
70.484;2.456;1
70.837;2.804;1
70.919;2.883;1
71.036;2.998;1
72.356;1.919;1
72.692;2.25;1
72.813;2.368;1
72.924;2.476;1
74.087;1.813;1
74.385;2.106;1
74.464;2.182;1
74.579;2.294;1
75.822;1.793;1
75.97;1.937;1
76.31;2.26;1
76.431;2.376;1
77.327;1.275;1
77.809;1.753;1
77.971;1.911;1
78.346;2.283;1
79.698;1.624;1
79.911;1.832;1
80.058;1.956;1
