Date_ms;response_time_ms;rtd_no
108.49;3.384;1
108.513;2.961;1
206.227;2.022;1
206.24;1.859;1
307.251;2.32;1
307.264;2.227;1
406.097;1.956;1
406.111;2.097;1
506.123;2.244;1
506.956;1.844;1
606.349;2.01;1
606.834;1.873;1
714.688;9.497;1
714.716;9.435;1
714.963;9.61;1
714.994;9.578;1
715.027;9.526;1
715.035;9.456;1
715.08;9.376;1
715.088;9.322;1
715.13;9.27;1
715.139;9.22;1
715.184;9.177;1
715.207;9.112;1
715.235;9.062;1
715.26;9.02;1
715.287;8.979;1
715.414;9.037;1
715.688;9.24;1
715.7;9.167;1
715.748;9.116;1
715.757;9.025;1
716.003;9.186;1
716.013;9.092;1
716.065;7.954;1
716.074;9.052;1
716.097;8.983;1
716.105;8.906;1
716.208;8.896;1
716.296;8.895;1
716.325;8.817;1
716.334;8.037;1
716.356;7.817;1
716.364;7.737;1
716.386;8.81;1
716.395;7.584;1
716.416;8.699;1
716.425;7.528;1
716.446;7.362;1
716.455;8.641;1
716.476;7.189;1
716.484;8.57;1
716.525;7.165;1
716.535;8.529;1
716.56;7.044;1
716.569;6.958;1
716.611;6.84;1
716.62;8.396;1
716.643;6.726;1
716.651;8.226;1
716.688;6.695;1
716.699;6.561;1
716.74;8.003;1
716.749;6.535;1
716.79;7.787;1
716.959;7.787;1
716.989;7.554;1
716.997;7.303;1
717.019;7.176;1
717.047;6.656;1
717.488;7.424;1
717.512;7.044;1
717.545;7.246;1
717.568;6.948;1
717.619;7.08;1
717.628;6.929;1
717.819;7.048;1
717.848;6.987;1
717.877;6.923;1
717.986;6.749;1
718.019;6.977;1
718.063;6.918;1
718.112;6.578;1
718.243;6.62;1
718.29;6.568;1
718.299;6.988;1
718.324;6.937;1
718.454;6.462;1
718.587;6.429;1
718.695;7.232;1
718.841;6.586;1
718.85;7.049;1
718.878;6.977;1
718.887;6.817;1
718.931;6.405;1
718.955;6.251;1
718.981;6.635;1
719.006;6.143;1
719.033;6.599;1
719.041;6.077;1
719.064;6.434;1
719.072;6.288;1
719.481;6.362;1
719.492;6.226;1
719.538;6.496;1
719.559;6.368;1
719.587;6.24;1
719.629;6.209;1
719.793;6.098;1
720.051;6.547;1
720.12;6.322;1
720.129;6.546;1
720.151;6.26;1
720.16;6.196;1
720.182;6.127;1
720.19;6.042;1
720.228;5.993;1
720.253;5.929;1
720.279;5.851;1
720.287;5.785;1
720.309;5.718;1
720.317;5.007;1
720.338;5.568;1
720.347;4.887;1
720.39;4.82;1
720.398;5.524;1
720.445;4.646;1
720.469;4.583;1
720.494;4.368;1
720.518;4.302;1
720.772;3.7;1
720.782;3.617;1
720.811;4.013;1
720.976;4.098;1
721.006;2.397;1
721.015;2.683;1
721.037;2.531;1
721.046;2.299;1
721.408;1.728;1
721.419;1.616;1
721.448;1.556;1
721.456;1.472;1
721.982;1.438;1
722.149;1.495;1
722.516;1.697;1
722.686;1.789;1
723.422;1.43;1
723.434;1.363;1
724.159;1.632;1
724.329;1.718;1
725.476;1.308;1
725.492;1.239;1
727.789;1.796;1
727.799;1.717;1
728.405;1.642;1
728.573;1.716;1
729.185;1.591;1
729.194;1.493;1
729.684;1.269;1
730.02;1.526;1
730.451;1.426;1
730.634;1.528;1
731.277;1.438;1
731.371;1.428;1
731.931;1.469;1
732.1;1.542;1
733.382;1.441;1
733.394;1.369;1
736.001;1.888;1
736.165;1.963;1
736.197;1.933;1
737.11;1.309;1
737.356;1.457;1
737.637;1.627;1
737.688;1.599;1
738.545;1.404;1
738.806;1.551;1
738.815;1.451;1
739.044;1.587;1
739.277;1.743;1
740.206;1.595;1
740.217;1.502;1
740.356;1.495;1
740.368;1.401;1
744.379;1.528;1
744.424;1.461;1
744.712;1.656;1
744.721;1.582;1
745.812;1.593;1
746.131;1.83;1
746.165;1.644;1
746.406;1.785;1
747.34;1.518;1
747.352;1.416;1
747.417;1.387;1
747.454;1.282;1
747.499;1.244;1
747.775;1.447;1
751.419;1.442;1
751.628;1.458;1
751.7;1.418;1
751.902;1.542;1
751.933;1.496;1
752.02;1.512;1
752.874;1.427;1
753.101;1.56;1
753.133;1.419;1
753.304;1.506;1
754.324;1.439;1
754.351;1.21;1
754.385;1.167;1
754.429;1.437;1
756.972;1.164;1
757.334;1.441;1
758.322;1.319;1
758.413;1.332;1
758.694;1.515;1
758.705;1.449;1
759.815;1.482;1
759.998;1.555;1
761.335;1.509;1
761.502;1.579;1
762.287;1.452;1
762.472;1.551;1
762.504;1.51;1
762.85;1.505;1
763.054;1.627;1
763.436;1.139;1
763.732;1.339;1
764.286;1.389;1
764.319;1.344;1
764.732;1.265;1
764.857;1.242;1
768.593;1.817;1
768.627;1.76;1
768.846;1.559;1
768.921;1.538;1
770.126;1.686;1
770.158;1.636;1
770.167;1.469;1
770.628;1.842;1
771.383;1.442;1
771.706;1.674;1
771.892;1.417;1
772.101;1.537;1
772.854;1.329;1
773.088;1.48;1
773.098;1.159;1
773.128;1.103;1
774.263;1.379;1
774.295;1.301;1
776.985;1.462;1
777.017;1.411;1
778.007;1.203;1
778.392;1.501;1
778.571;1.546;1
778.602;1.5;1
779.393;1.353;1
779.444;1.319;1
779.805;1.401;1
780.015;1.522;1
781.332;1.477;1
781.537;1.597;1
782.193;1.312;1
782.225;1.256;1
782.692;1.327;1
782.817;1.362;1
783.208;1.209;1
783.24;1.142;1
785.421;1.338;1
785.749;1.577;1
786.945;1.477;1
787.209;1.449;1
787.369;1.815;1
787.399;1.555;1
787.407;1.487;1
788.258;1.255;1
788.492;1.391;1
788.559;1.342;1
788.57;1.279;1
789.914;1.306;1
790.012;1.318;1
