StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-28	22:43:39.033390	1430261019.033390;2015-04-28	22:43:39.033390	1430261019.033390;2015-04-28	22:43:39.035332	1430261019.035332;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-28	22:43:39.033390	1430261019.033390;2015-04-28	22:43:39.035740	1430261019.035740;2015-04-28	22:43:41.036190	1430261021.036190;00:00:02;00:00:02;10;3986.5;3982.52;7973;7973;0;0;7973;7957;0;0;16;16;0;0;0;0;0;0;0;0;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:000000;;7971;0;0;0;0;0;0;0;0;;16;0;0;0;0;0;0;0;
2015-04-28	22:43:39.033390	1430261019.033390;2015-04-28	22:43:41.036245	1430261021.036245;2015-04-28	22:43:43.037321	1430261023.037321;00:00:02;00:00:04;10;3990;3986.26;7984;15957;0;0;15957;15925;0;0;16;32;0;0;0;0;0;0;0;0;16;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;16;32;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:011000;00:00:00:007000;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:000000;;15934;5;4;3;0;0;0;0;4;;32;0;0;0;0;0;0;0;
2015-04-28	22:43:39.033390	1430261019.033390;2015-04-28	22:43:43.037424	1430261023.037424;2015-04-28	22:43:45.039217	1430261025.039217;00:00:02;00:00:06;10;3843.58;3938.05;7691;23648;0;0;23648;15753;6313;6313;1550;1582;0;0;0;0;0;0;0;0;1550;1582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;178;0;0;1550;1582;0;0;0;0;0;0;00:00:00:013000;00:00:00:005000;00:00:00:071000;00:00:00:041000;00:00:03:992000;00:00:03:976000;00:00:00:267000;00:00:00:368000;;23220;19;5;3;0;0;0;0;158;;66;0;0;0;0;7829;0;0;
2015-04-28	22:43:39.033390	1430261019.033390;2015-04-28	22:43:45.039270	1430261025.039270;2015-04-28	22:43:47.041329	1430261027.041329;00:00:02;00:00:08;10;4143.86;3989.51;8296;31944;0;0;31944;15886;4396;10709;3767;5349;0;0;0;0;0;0;0;0;3767;5349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;409;0;0;3767;5349;0;0;0;0;0;0;00:00:00:017000;00:00:00:008000;00:00:00:104000;00:00:00:064000;00:00:03:982000;00:00:03:979000;00:00:00:361000;00:00:00:364000;;31521;19;5;3;0;0;0;0;386;;129;0;0;0;0;15915;14;0;
2015-04-28	22:43:39.033390	1430261019.033390;2015-04-28	22:43:47.041466	1430261027.041466;2015-04-28	22:43:49.045495	1430261029.045495;00:00:02;00:00:10;10;3927.64;3976.73;7871;39815;0;0;39815;16156;3193;13902;4408;9757;0;0;0;0;0;0;0;0;4408;9757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;469;0;0;4408;9757;0;0;0;0;0;0;00:00:00:006000;00:00:00:008000;00:00:00:042000;00:00:00:061000;00:00:03:996000;00:00:03:984000;00:00:00:218000;00:00:00:325000;;39253;20;14;3;0;0;0;0;442;;151;0;0;0;0;23494;14;0;
2015-04-28	22:43:39.033390	1430261019.033390;2015-04-28	22:43:49.045578	1430261029.045578;2015-04-28	22:43:51.047208	1430261031.047208;00:00:02;00:00:12;10;3584.21;3911.35;7172;46987;0;0;46987;15347;7902;21804;79;9836;0;0;0;0;0;0;0;0;79;9836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;913;1382;0;0;79;9836;0;0;0;0;0;0;00:00:00:058000;00:00:00:015000;00:00:00:180000;00:00:00:090000;00:00:04:028000;00:00:03:995000;00:00:00:158000;00:00:00:292000;;45187;37;14;3;0;0;0;0;1061;;157;0;0;0;0;31460;23;0;
2015-04-28	22:43:39.033390	1430261019.033390;2015-04-28	22:43:51.047283	1430261031.047283;2015-04-28	22:43:53.048243	1430261033.048243;00:00:02;00:00:14;10;3283.5;3821.46;6567;53554;0;0;53554;14620;7010;28814;284;10120;0;0;0;0;0;0;0;0;284;10120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2519;3901;0;0;284;10120;0;0;0;0;0;0;00:00:00:188000;00:00:00:034000;00:00:00:394000;00:00:00:166000;00:00:04:108000;00:00:04:016000;00:00:00:304000;00:00:00:298000;;49614;56;20;3;0;0;0;0;2485;;166;0;0;0;0;38599;169;0;
2015-04-28	22:43:39.033390	1430261019.033390;2015-04-28	22:43:53.048356	1430261033.048356;2015-04-28	22:43:55.049196	1430261035.049196;00:00:02;00:00:16;10;4615;3920.32;9230;62784;0;0;62784;16215;3445;32259;4190;14310;0;0;0;0;0;0;0;0;4190;14310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3528;7429;0;0;4190;14310;0;0;0;0;0;0;00:00:00:258000;00:00:00:069000;00:00:00:609000;00:00:00:296000;00:00:04:199000;00:00:04:046000;00:00:00:564000;00:00:00:362000;;56708;261;32;13;0;8;0;0;4857;;198;1;0;0;0;45631;739;0;
2015-04-28	22:43:39.033390	1430261019.033390;2015-04-28	22:43:55.049386	1430261035.049386;2015-04-28	22:43:57.051228	1430261037.051228;00:00:02;00:00:18;10;4416.79;3975.25;8838;71622;0;0;71622;18103;946;33205;6004;20314;0;0;0;0;0;0;0;0;6004;20314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;1344;8773;0;0;6010;20320;0;0;0;0;0;0;00:00:00:183000;00:00:00:084000;00:00:00:648000;00:00:00:365000;00:00:04:103000;00:00:04:054000;00:00:00:606000;00:00:00:402000;;65024;296;35;13;0;8;0;0;5984;;237;1;0;0;3;52232;1045;1;
