Date_ms;response_time_ms;rtd_no
8.22;6.543;1
8.389;4.269;1
8.572;4.441;1
8.633;4.499;1
9.802;3.271;1
9.927;3.392;1
10.521;2.35;1
10.635;2.458;1
11.903;1.884;1
12.1;2.074;1
15.841;3.649;1
15.962;3.753;1
17.787;3.094;1
17.902;3.196;1
19.096;3.031;1
19.397;3.324;1
21.156;2.09;1
21.46;2.386;1
21.607;2.545;1
23.379;2.276;1
23.717;2.607;1
25.961;2.616;1
26.232;2.876;1
28.333;2.769;1
28.492;2.915;1
30.501;2.941;1
30.65;3.085;1
32.411;2.623;1
32.602;2.81;1
34.415;2.504;1
34.568;2.645;1
36.218;2.339;1
36.359;2.476;1
38.3;2.514;1
38.45;2.66;1
40.075;2.502;1
40.221;2.644;1
42.113;2.449;1
42.264;2.596;1
44.063;2.629;1
44.204;2.765;1
45.993;2.485;1
46.218;2.704;1
47.919;2.498;1
48.063;2.637;1
49.882;2.45;1
50.105;2.668;1
51.805;2.527;1
51.947;2.664;1
53.74;2.416;1
53.885;2.556;1
55.574;2.41;1
55.773;2.604;1
57.428;2.329;1
57.751;2.647;1
59.353;1.976;1
59.706;2.325;1
61.379;2.056;1
61.649;2.322;1
63.277;1.929;1
63.656;2.303;1
65.21;1.964;1
65.538;2.287;1
67.201;2.023;1
67.472;2.289;1
69.219;2.049;1
69.49;2.315;1
71.112;1.924;1
71.387;2.194;1
73.203;2.121;1
73.475;2.389;1
75.245;2.067;1
75.552;2.369;1
77.247;2.033;1
77.515;2.297;1
79.193;1.977;1
79.532;2.312;1
81.345;2.184;1
81.614;2.448;1
83.322;2.011;1
83.659;2.344;1
85.255;1.974;1
85.524;2.239;1
87.257;2.034;1
87.607;2.379;1
89.239;2.006;1
89.512;2.274;1
91.228;2.02;1
91.513;2.301;1
93.318;2.121;1
93.649;2.448;1
95.233;1.946;1
95.526;2.234;1
97.406;2.196;1
97.675;2.461;1
99.361;1.989;1
99.673;2.296;1
101.234;1.907;1
101.511;2.18;1
103.136;1.936;1
103.405;2.201;1
105.199;2.095;1
105.469;2.36;1
107.368;2.2;1
107.665;2.493;1
109.391;2.109;1
109.671;2.382;1
111.203;1.836;1
111.583;2.212;1
113.186;2.015;1
113.454;2.278;1
115.183;2.028;1
115.525;2.365;1
117.252;2.107;1
117.52;2.371;1
119.153;1.932;1
119.419;2.194;1
121.355;2.233;1
121.625;2.499;1
123.454;2.131;1
123.766;2.438;1
125.311;1.881;1
125.578;2.143;1
127.127;1.849;1
127.443;2.16;1
129.156;2.063;1
129.434;2.336;1
131.074;1.95;1
131.348;2.219;1
133.171;2.121;1
133.442;2.388;1
135.088;1.953;1
135.359;2.219;1
136.944;1.888;1
137.367;2.306;1
138.67;1.586;1
138.815;1.723;1
143.44;3.387;1
143.624;3.566;1
143.736;3.675;1
145.122;2.487;1
145.423;2.784;1
146.91;1.824;1
147.21;2.119;1
147.354;2.26;1
148.497;1.475;1
148.64;1.611;1
153.195;3.312;1
153.349;3.461;1
154.882;2.565;1
155.029;2.707;1
155.148;2.823;1
156.285;1.71;1
156.523;1.889;1
157.719;1.458;1
157.912;1.646;1
162.605;3.445;1
162.722;3.557;1
162.866;3.697;1
164.559;2.851;1
164.7;2.988;1
166.157;2.117;1
166.532;2.487;1
166.638;2.589;1
167.932;1.807;1
168.067;1.938;1
169.658;1.632;1
169.854;1.82;1
174.076;2.951;1
174.184;3.054;1
174.3;3.166;1
175.641;1.96;1
175.804;2.117;1
177.426;1.82;1
177.57;1.953;1
178.865;1.801;1
178.976;1.907;1
181.955;2.944;1
182.067;3.051;1
183.391;1.91;1
183.587;2.101;1
185.109;1.755;1
185.272;1.906;1
186.798;1.72;1
186.936;1.854;1
191.293;3.061;1
191.409;3.172;1
191.505;3.264;1
193.203;2.494;1
193.266;2.552;1
194.635;1.865;1
194.764;1.989;1
196.392;1.816;1
196.452;1.871;1
198.049;2.016;1
198.186;2.141;1
199.542;1.525;1
199.64;1.618;1
203.824;2.912;1
203.909;2.992;1
205.126;2.934;1
205.28;3.083;1
206.789;1.698;1
206.894;1.798;1
207.008;1.908;1
210.149;3.106;1
210.262;3.213;1
211.755;2.211;1
211.864;2.316;1
213.188;1.665;1
213.351;1.822;1
214.683;1.532;1
214.82;1.655;1
219.141;3.094;1
219.257;3.205;1
219.331;3.275;1
220.76;2.116;1
220.896;2.247;1
222.67;1.934;1
222.733;1.992;1
224.507;2.32;1
224.638;2.446;1
226.362;1.887;1
226.499;2.02;1
228.167;1.834;1
228.304;1.966;1
230.085;1.942;1
230.214;2.067;1
231.957;1.903;1
232.133;2.075;1
233.791;1.776;1
233.872;1.852;1
238.226;3.077;1
238.287;3.133;1
238.404;3.246;1
239.68;2.036;1
239.842;2.194;1
241.641;1.998;1
241.751;2.104;1
243.429;2.343;1
243.623;2.525;1
245.295;1.896;1
245.466;2.062;1
247.083;1.811;1
247.243;1.967;1
249.101;2.05;1
249.265;2.209;1
250.877;1.808;1
250.989;1.916;1
254.064;3.025;1
254.175;3.131;1
255.703;2.195;1
255.811;2.299;1
257.212;1.77;1
257.399;1.952;1
259.046;1.865;1
259.225;2.04;1
260.634;1.619;1
260.768;1.749;1
265.12;3.096;1
265.233;3.204;1
265.305;3.272;1
266.539;2.029;1
266.668;2.155;1
268.193;1.685;1
268.322;1.809;1
269.835;1.676;1
269.916;1.752;1
274.471;3.271;1
274.547;3.342;1
274.665;3.457;1
276.003;2.275;1
276.19;2.457;1
278.027;2.058;1
278.143;2.169;1
279.684;2.187;1
279.794;2.291;1
281.331;1.941;1
281.443;2.048;1
282.841;1.785;1
282.975;1.914;1
286.119;3.098;1
286.23;3.204;1
287.814;2.325;1
287.93;2.436;1
289.514;2.045;1
289.625;2.151;1
290.945;1.779;1
291.149;1.978;1
292.724;1.697;1
292.837;1.805;1
296.99;2.937;1
297.154;3.096;1
297.229;3.167;1
298.643;2.105;1
298.789;2.239;1
300.491;1.88;1
300.555;1.939;1
302.221;2.122;1
302.352;2.248;1
303.961;1.773;1
304.12;1.927;1
305.669;1.655;1
305.754;1.735;1
309.898;2.909;1
309.981;2.983;1
311.447;3.187;1
311.559;3.295;1
313.128;3.073;1
313.198;3.138;1
314.859;2.026;1
314.922;2.084;1
316.387;1.907;1
316.447;1.962;1
317.827;1.567;1
317.905;1.64;1
322.356;3.144;1
322.432;3.215;1
322.546;3.325;1
323.837;2.027;1
324.005;2.19;1
325.932;2.13;1
326.051;2.243;1
327.58;2.317;1
327.69;2.421;1
329.332;2.051;1
329.496;2.209;1
331.211;1.91;1
331.387;2.081;1
333.174;1.988;1
333.337;2.146;1
334.978;1.835;1
335.181;2.034;1
336.699;1.638;1
336.812;1.746;1
341.174;3.091;1
341.286;3.198;1
341.357;3.265;1
342.713;2.096;1
342.854;2.232;1
344.22;1.531;1
344.349;1.655;1
346.042;1.857;1
346.201;2.004;1
347.596;1.588;1
347.708;1.695;1
351.983;3;1
352.175;3.186;1
353.281;2.945;1
353.525;3.183;1
353.64;1.6;1
353.779;1.734;1
358.031;2.971;1
358.107;3.041;1
358.222;3.152;1
359.42;1.859;1
359.625;2.059;1
360.975;1.588;1
361.226;1.834;1
362.725;1.634;1
362.839;1.743;1
367.205;3.123;1
367.321;3.227;1
367.393;3.295;1
368.926;2.271;1
369.132;2.472;1
370.739;2.021;1
370.802;2.079;1
372.725;2.254;1
372.788;2.311;1
374.454;2.365;1
374.517;2.423;1
376.212;2.137;1
376.341;2.254;1
378.133;1.956;1
378.288;2.106;1
379.977;1.868;1
380.164;2.05;1
381.756;1.728;1
381.837;1.797;1
386.139;3.03;1
386.199;3.085;1
386.311;3.193;1
387.91;2.351;1
388.016;2.453;1
389.637;2.077;1
389.737;2.172;1
391.112;1.865;1
391.272;2.02;1
392.92;1.839;1
393.093;2.007;1
394.635;1.61;1
394.758;1.695;1
398.91;2.906;1
399.145;1.944;1
399.224;2.018;1
400.811;1.774;1
400.962;1.921;1
404.06;2.987;1
404.12;3.042;1
405.76;2.21;1
405.864;2.31;1
407.206;1.822;1
407.376;1.987;1
408.971;1.808;1
409.187;2.019;1
410.459;1.435;1
410.637;1.574;1
414.827;2.905;1
414.907;2.98;1
416.252;3.049;1
416.402;3.195;1
418.085;1.866;1
418.222;1.998;1
418.334;2.106;1
419.849;1.795;1
419.962;1.904;1
422.774;2.761;1
422.913;2.895;1
424.217;1.708;1
424.38;1.866;1
426.055;1.869;1
426.227;2.036;1
427.854;1.828;1
427.967;1.936;1
432.33;3.131;1
432.447;3.243;1
432.519;3.311;1
433.891;2.218;1
434.022;2.342;1
435.378;1.529;1
435.548;1.694;1
437.204;1.857;1
437.348;1.996;1
438.74;1.562;1
438.819;1.636;1
443.361;3.272;1
443.425;3.33;1
443.551;3.452;1
444.915;2.237;1
445.138;2.455;1
446.667;1.784;1
446.79;1.902;1
448.145;1.722;1
448.325;1.896;1
449.681;1.564;1
449.795;1.673;1
454.181;3.1;1
454.298;3.211;1
454.36;3.269;1
455.671;2.042;1
455.799;2.164;1
457.504;1.873;1
457.568;1.931;1
458.899;1.795;1
459.005;1.896;1
462.3;3.215;1
462.363;3.273;1
464.061;2.433;1
464.142;2.508;1
465.879;2.094;1
465.956;2.165;1
467.713;2.296;1
467.784;2.361;1
469.54;2.314;1
469.614;2.383;1
471.388;2.328;1
471.571;2.506;1
473.177;1.821;1
473.325;1.964;1
474.968;1.815;1
475.159;2.001;1
476.806;1.786;1
476.886;1.854;1
481.207;3.045;1
481.279;3.111;1
481.398;3.226;1
482.997;2.357;1
483.135;2.49;1
484.776;2.13;1
484.903;2.252;1
486.143;1.723;1
486.359;1.934;1
487.733;1.621;1
487.846;1.729;1
492.096;3.026;1
492.23;3.155;1
492.311;3.232;1
493.865;2.296;1
493.943;2.369;1
495.334;1.709;1
495.471;1.84;1
497.108;1.806;1
497.242;1.936;1
498.77;1.696;1
498.85;1.771;1
503.125;3.001;1
503.197;3.067;1
503.325;3.191;1
504.661;2.059;1
504.841;2.227;1
506.582;1.945;1
506.712;2.07;1
507.986;1.874;1
508.23;2.113;1
509.503;1.412;1
509.767;1.671;1
514.053;3.057;1
514.245;3.244;1
515.276;3.009;1
515.39;3.119;1
515.732;1.711;1
515.845;1.819;1
520.114;3.034;1
520.245;3.159;1
520.334;3.245;1
521.944;2.382;1
522.021;2.454;1
523.604;1.998;1
523.689;2.077;1
524.984;1.69;1
525.203;1.904;1
526.871;1.806;1
526.976;1.899;1
530.105;3.027;1
530.203;3.12;1
531.976;2.466;1
532.074;2.56;1
533.462;1.989;1
533.64;2.161;1
535.074;1.643;1
535.218;1.782;1
536.57;1.557;1
536.651;1.633;1
541.074;3.149;1
541.214;3.284;1
542.183;2.934;1
542.264;3.011;1
542.936;1.926;1
543.061;2.042;1
544.83;1.803;1
544.911;1.879;1
549.14;2.963;1
549.244;3.061;1
549.36;3.173;1
550.789;2.105;1
550.898;2.209;1
552.317;1.658;1
552.489;1.824;1
554.274;1.999;1
554.455;2.164;1
556.115;1.875;1
556.278;2.033;1
557.999;1.916;1
558.218;2.13;1
559.908;1.824;1
560.042;1.953;1
561.763;1.752;1
561.878;1.862;1
566.228;3.195;1
566.348;3.31;1
566.422;3.373;1
567.762;2.223;1
567.891;2.347;1
569.313;1.584;1
569.442;1.708;1
570.837;1.557;1
570.93;1.645;1
574.075;3.06;1
574.157;3.136;1
575.805;2.271;1
575.867;2.328;1
577.63;2.19;1
577.692;2.246;1
579.319;2.18;1
579.456;2.312;1
580.808;1.521;1
580.887;1.595;1
585.227;3.064;1
585.305;3.136;1
585.42;3.247;1
586.943;2.306;1
587.127;2.485;1
588.496;1.809;1
588.668;1.975;1
590.217;1.759;1
590.396;1.925;1
591.965;1.783;1
592.194;2.006;1
593.662;1.592;1
593.784;1.709;1
597.99;2.96;1
598.102;3.067;1
598.164;3.125;1
599.782;2.235;1
599.843;2.291;1
601.62;2.189;1
601.683;2.247;1
603.099;1.984;1
603.262;2.141;1
604.629;1.562;1
604.709;1.637;1
609.076;3.093;1
609.223;3.234;1
610.345;3.08;1
610.425;3.155;1
610.781;1.771;1
610.862;1.847;1
615.309;3.165;1
615.387;3.238;1
615.536;3.383;1
616.884;2.223;1
617.084;2.418;1
618.43;1.579;1
618.624;1.768;1
619.97;1.572;1
620.212;1.809;1
621.948;1.865;1
622.168;2.079;1
624.005;1.965;1
624.211;2.165;1
625.822;1.733;1
625.945;1.85;1
630.216;3.031;1
630.373;3.183;1
630.455;3.261;1
631.832;2.14;1
631.968;2.271;1
633.64;1.834;1
633.703;1.891;1
635.279;2.004;1
635.409;2.129;1
636.983;1.737;1
637.199;1.948;1
638.439;1.374;1
638.54;1.469;1
642.775;2.932;1
642.861;3.012;1
643.965;2.817;1
644.097;2.944;1
645.453;1.52;1
