StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-28	19:07:40.571122	1430248060.571122;2015-04-28	19:07:40.571122	1430248060.571122;2015-04-28	19:07:40.573311	1430248060.573311;00:00:00;00:00:00;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-28	19:07:40.571122	1430248060.571122;2015-04-28	19:07:40.573657	1430248060.573657;2015-04-28	19:07:42.575571	1430248062.575571;00:00:02;00:00:02;100;99.4503;99.3014;0;0;199;199;199;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;198;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-28	19:07:40.571122	1430248060.571122;2015-04-28	19:07:42.575660	1430248062.575660;2015-04-28	19:07:44.577925	1430248064.577925;00:00:02;00:00:04;100;100.4;99.8502;0;0;201;400;400;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;398;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-28	19:07:40.571122	1430248060.571122;2015-04-28	19:07:44.578016	1430248064.578016;2015-04-28	19:07:46.578665	1430248066.578665;00:00:02;00:00:06;100;100;99.8835;0;0;200;600;600;401;199;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:000000;00:00:00:000000;00:00:04:007000;00:00:04:007000;00:00:00:000000;00:00:00:000000;;599;1;0;0;0;0;0;0;0;;0;0;0;0;0;199;0;0;
2015-04-28	19:07:40.571122	1430248060.571122;2015-04-28	19:07:46.578752	1430248066.578752;2015-04-28	19:07:48.579026	1430248068.579026;00:00:02;00:00:08;100;100;99.9126;0;0;200;800;800;401;200;399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:003000;00:00:00:000000;00:00:00:000000;00:00:04:007000;00:00:04:007000;00:00:00:000000;00:00:00:000000;;799;1;0;0;0;0;0;0;0;;0;0;0;0;0;399;0;0;
2015-04-28	19:07:40.571122	1430248060.571122;2015-04-28	19:07:48.579111	1430248068.579111;2015-04-28	19:07:50.580112	1430248070.580112;00:00:02;00:00:10;100;99.95;99.9201;0;0;200;1000;1000;401;200;599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:000000;00:00:00:000000;00:00:04:006000;00:00:04:007000;00:00:00:000000;00:00:00:000000;;999;1;0;0;0;0;0;0;0;;0;0;0;0;0;599;0;0;
2015-04-28	19:07:40.571122	1430248060.571122;2015-04-28	19:07:50.580216	1430248070.580216;2015-04-28	19:07:52.582005	1430248072.582005;00:00:02;00:00:12;100;99.95;99.9167;0;0;200;1200;1200;400;201;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:000000;00:00:00:000000;00:00:04:006000;00:00:04:007000;00:00:00:000000;00:00:00:000000;;1199;1;0;0;0;0;0;0;0;;0;0;0;0;0;800;0;0;
2015-04-28	19:07:40.571122	1430248060.571122;2015-04-28	19:07:52.582099	1430248072.582099;2015-04-28	19:07:54.584375	1430248074.584375;00:00:02;00:00:14;100;99.9001;99.9072;0;0;200;1400;1400;400;200;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:003000;00:00:00:000000;00:00:00:000000;00:00:04:006000;00:00:04:007000;00:00:00:000000;00:00:00:000000;;1399;1;0;0;0;0;0;0;0;;0;0;0;0;0;1000;0;0;
2015-04-28	19:07:40.571122	1430248060.571122;2015-04-28	19:07:54.584463	1430248074.584463;2015-04-28	19:07:56.585055	1430248076.585055;00:00:02;00:00:16;100;100.5;99.9813;0;0;201;1601;1601;401;200;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:000000;00:00:00:000000;00:00:04:006000;00:00:04:007000;00:00:00:000000;00:00:00:000000;;1599;1;0;0;0;0;0;0;0;;0;0;0;0;0;1200;0;0;
2015-04-28	19:07:40.571122	1430248060.571122;2015-04-28	19:07:56.585146	1430248076.585146;2015-04-28	19:07:58.586522	1430248078.586522;00:00:02;00:00:18;100;99.95;99.9722;0;0;200;1801;1801;401;200;1400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:000000;00:00:00:000000;00:00:04:006000;00:00:04:006000;00:00:00:000000;00:00:00:000000;;1799;1;0;0;0;0;0;0;0;;0;0;0;0;0;1400;0;0;
