Date_ms;response_time_ms;rtd_no
19.579;3.733;1
22.065;2.46;1
32.845;2.257;1
41.546;2.232;1
52.69;2.308;1
63.512;2.34;1
72.047;2.248;1
83.071;2.264;1
91.515;2.232;1
102.482;2.242;1
113.523;2.258;1
122.088;2.292;1
133.173;2.368;1
141.568;2.325;1
152.471;2.311;1
163.629;2.477;1
172.062;2.395;1
183.172;2.293;1
193.199;2.267;1
203.304;2.429;1
213.328;2.36;1
223.023;2.238;1
231.415;2.097;1
241.534;2.341;1
252.87;2.389;1
262.973;2.328;1
271.599;2.254;1
281.389;2.16;1
292.592;2.28;1
302.448;2.287;1
313.694;2.277;1
323.757;2.346;1
333.665;2.299;1
343.654;2.336;1
353.537;2.249;1
361.667;2.238;1
373.415;2.307;1
382.834;2.355;1
392.343;2.263;1
402.022;2.361;1
411.568;2.294;1
422.359;2.316;1
431.763;2.25;1
441.329;2.192;1
452.851;2.082;1
462.07;2.075;1
472.699;2.151;1
482.05;2.253;1
491.496;2.247;1
502.049;2.169;1
512.901;2.307;1
523.405;2.274;1
532.655;2.132;1
541.884;2.158;1
552.416;2.234;1
561.941;2.366;1
572.615;2.352;1
582.955;2.192;1
593.298;2.183;1
601.224;2.115;1
611.92;2.343;1
622.13;2.084;1
632.732;2.241;1
642.005;2.207;1
651.309;2.176;1
661.869;2.216;1
672.457;2.24;1
683.43;2.291;1
691.847;2.247;1
701.69;2.324;1
712.565;2.233;1
723.439;2.276;1
731.637;2.187;1
742.371;2.313;1
752.014;2.339;1
761.427;2.198;1
772.336;2.219;1
781.906;2.24;1
791.299;2.163;1
803.215;2.261;1
811.494;2.216;1
822.348;2.339;1
833.309;2.247;1
843.161;2.334;1
851.591;2.356;1
862.446;2.284;1
873.262;2.221;1
883.066;2.343;1
891.458;2.186;1
902.654;2.244;1
912.329;2.218;1
923.823;2.417;1
933.432;2.252;1
942.04;2.31;1
953.358;2.493;1
963.277;2.343;1
973.384;2.475;1
981.438;2.274;1
992.91;2.089;1
1002.13;2.134;1
1012.49;2.158;1
1022.11;2.031;1
1033.41;2.317;1
1041.91;2.296;1
1053;2.258;1
1062.32;2.195;1
1071.83;2.108;1
1083.02;2.307;1
1091.56;2.251;1
1101.57;2.377;1
1112.62;2.252;1
1122.47;2.305;1
1133.33;2.258;1
1141.85;2.212;1
1152.82;2.248;1
1162.52;2.176;1
1173.65;2.37;1
1183.59;2.353;1
1193.39;2.269;1
1201.83;2.211;1
1213.01;2.337;1
1221.75;2.591;1
1233.26;2.704;1
1242.86;1.893;1
1251.88;1.946;1
1261.36;2.319;1
1273.35;2.426;1
1282.91;2.416;1
1292.82;2.517;1
1302.52;2.354;1
1312.52;2.483;1
1323.61;2.485;1
1332.1;2.393;1
1343.22;2.372;1
1353.12;2.438;1
1361.58;2.286;1
1371.23;2.089;1
1382.38;2.352;1
1391.93;2.266;1
1401.41;2.249;1
1412.3;2.251;1
1422;2.284;1
1432.99;2.38;1
1442.59;2.326;1
1453.37;2.322;1
1462.89;2.289;1
1472.48;2.266;1
1481.97;2.297;1
1491.44;2.295;1
1503.29;2.158;1
1512.86;2.259;1
1522.21;2.169;1
1531.74;2.292;1
1543.45;2.307;1
1552.91;2.228;1
1562.39;2.241;1
1571.85;2.255;1
1582.51;2.294;1
1593.27;2.36;1
1601.35;2.165;1
1613.17;2.205;1
1621.46;2.215;1
1632.05;2.162;1
1642.76;2.231;1
1652.35;2.247;1
1661.83;2.242;1
1672.6;2.282;1
1683.29;2.146;1
1692.76;2.17;1
1702.51;2.316;1
1713.44;2.386;1
1723.01;2.294;1
1731.32;2.157;1
1743.46;2.371;1
1751.9;2.238;1
1761.77;2.476;1
1772.78;2.44;1
1782.33;2.295;1
1792.01;2.272;1
1801.56;2.28;1
1812.44;2.294;1
1823.4;2.397;1
1831.96;2.373;1
1841.53;2.334;1
1852.07;2.202;1
1862.87;2.248;1
1872.5;2.285;1
1883.76;2.477;1
1893.42;2.252;1
1902.06;2.327;1
1913.03;2.378;1
1921.49;2.31;1
1932.46;2.344;1
1943.34;2.295;1
1951.85;2.277;1
1961.7;2.418;1
1972.48;2.307;1
1983.32;2.191;1
1991.97;2.319;1
2003.28;2.354;1
2011.67;2.396;1
2022.58;2.282;1
2033.43;2.212;1
2041.81;2.209;1
2053.13;2.394;1
2062.57;2.35;1
2073.56;2.285;1
2083.23;2.179;1
2091.9;2.245;1
2103.1;2.3;1
2111.69;2.298;1
2121.52;2.294;1
2132.44;2.286;1
2143.46;2.307;1
2151.75;2.239;1
2161.49;2.294;1
2172.37;2.233;1
2183.45;2.313;1
2192.08;2.288;1
2202.98;2.271;1
2212.45;2.231;1
2223.22;2.236;1
2232.62;2.127;1
2242.11;2.079;1
2251.91;2.195;1
2263.58;2.406;1
2271.45;2.011;1
2282.43;2.301;1
2293.21;2.25;1
2302.68;2.197;1
2312.18;2.175;1
2321.5;2.174;1
2332.37;2.24;1
2343.23;2.279;1
2357.31;2.33;1
2361.9;2.157;1
2371.14;2.013;1
2383.45;2.282;1
2391.82;2.252;1
2402.52;2.263;1
2413.23;2.268;1
2422.9;2.363;1
2432.47;2.351;1
2441.97;2.312;1
2451.23;2.023;1
2463.44;2.243;1
2472.95;2.284;1
2482.6;2.279;1
2493.32;2.158;1
2502.97;2.339;1
2512.63;2.306;1
2523.44;2.275;1
2531.89;2.313;1
2542.78;2.323;1
2552.42;2.315;1
2561.93;2.243;1
2571.44;2.188;1
2583.52;2.271;1
2591.77;2.197;1
2602.6;2.335;1
2613.26;2.275;1
2621.63;2.238;1
2632.3;2.167;1
2641.92;2.327;1
2651.3;2.09;1
2662.19;2.273;1
2672.87;2.152;1
2682.31;2.164;1
2691.88;2.29;1
2701.32;2.119;1
2712.09;2.139;1
2722.92;2.387;1
2732.41;2.227;1
2741.98;2.337;1
2751.5;2.197;1
2762.61;2.49;1
2773.27;2.322;1
2781.71;2.371;1
2792.45;2.276;1
2803.16;2.215;1
2813.17;2.26;1
2821.6;2.292;1
2833.6;2.333;1
2841.99;2.362;1
2851.77;2.466;1
2862.45;2.375;1
2873.4;2.285;1
2882.06;2.283;1
2891.94;2.255;1
2903.13;2.346;1
