StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-28	20:35:09.220813	1430253309.220813;2015-04-28	20:35:09.220813	1430253309.220813;2015-04-28	20:35:09.222462	1430253309.222462;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-28	20:35:09.220813	1430253309.220813;2015-04-28	20:35:09.222826	1430253309.222826;2015-04-28	20:35:11.224501	1430253311.224501;00:00:02;00:00:02;10;2995.5;2992.51;5994;5994;0;0;5994;5992;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;2;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:006000;00:00:00:006000;00:00:00:003000;00:00:00:003000;00:00:00:003000;00:00:00:003000;;5986;1;2;0;0;0;0;0;1;;2;0;0;0;0;0;0;0;
2015-04-28	20:35:09.220813	1430253309.220813;2015-04-28	20:35:11.224587	1430253311.224587;2015-04-28	20:35:13.226354	1430253313.226354;00:00:02;00:00:04;10;3000.5;2995.76;6004;11998;0;0;11998;11986;0;0;10;12;0;0;0;0;0;0;0;0;10;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;5;6;0;0;18;20;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:014000;00:00:00:011000;00:00:00:398000;00:00:00:332000;00:00:00:209000;00:00:00:243000;;11966;1;8;0;0;0;0;0;6;;4;0;0;7;1;0;0;0;
2015-04-28	20:35:09.220813	1430253309.220813;2015-04-28	20:35:13.226430	1430253313.226430;2015-04-28	20:35:15.228394	1430253315.228394;00:00:02;00:00:06;10;2994;2994.67;5991;17989;0;0;17989;11977;3304;3304;2696;2708;0;0;0;0;0;0;0;0;2696;2708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;16;23;29;0;0;2704;2724;0;0;0;0;0;0;00:00:00:003000;00:00:00:002000;00:00:00:031000;00:00:00:020000;00:00:04:004000;00:00:03:996000;00:00:00:080000;00:00:00:183000;;17921;14;13;0;0;0;0;0;29;;6;0;0;7;1;5998;0;0;
2015-04-28	20:35:09.220813	1430253309.220813;2015-04-28	20:35:15.228496	1430253315.228496;2015-04-28	20:35:17.230371	1430253317.230371;00:00:02;00:00:08;10;3001;2995.88;6005;23994;0;0;23994;11991;3156;6460;2835;5543;0;0;0;0;0;0;0;0;2835;5543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;31;0;0;2835;5559;0;0;0;0;0;0;00:00:00:001000;00:00:00:002000;00:00:00:009000;00:00:00:018000;00:00:04:001000;00:00:03:999000;00:00:00:091000;00:00:00:144000;;23918;14;13;0;0;0;0;0;31;;9;0;0;7;1;11986;0;0;
2015-04-28	20:35:09.220813	1430253309.220813;2015-04-28	20:35:17.230522	1430253317.230522;2015-04-28	20:35:19.231389	1430253319.231389;00:00:02;00:00:10;10;3002;2996.8;6004;29998;0;0;29998;11998;2239;8699;3758;9301;0;0;0;0;0;0;0;0;3758;9301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;24;8;39;0;0;3766;9325;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:018000;00:00:00:018000;00:00:03:999000;00:00:03:999000;00:00:00:126000;00:00:00:138000;;29914;14;13;0;0;0;0;0;39;;15;0;0;7;1;17977;0;0;
2015-04-28	20:35:09.220813	1430253309.220813;2015-04-28	20:35:19.234691	1430253319.234691;2015-04-28	20:35:21.233347	1430253321.233347;00:00:01;00:00:12;10;2976.48;2992.42;5947;35945;0;0;35945;11946;1304;10003;4695;13996;0;0;0;0;0;0;0;0;4695;13996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;3;42;0;0;4695;14020;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:011000;00:00:00:017000;00:00:04:002000;00:00:03:999000;00:00:00:052000;00:00:00:123000;;35858;14;14;6;0;0;0;0;42;;16;0;0;7;1;23975;0;0;
2015-04-28	20:35:09.220813	1430253309.220813;2015-04-28	20:35:21.233450	1430253321.233450;2015-04-28	20:35:23.235428	1430253323.235428;00:00:02;00:00:14;10;3002.5;2993.65;6008;41953;0;0;41953;11941;2762;12765;3251;17247;0;0;0;0;0;0;0;0;3251;17247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;30;15;57;0;0;3257;17277;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:019000;00:00:00:017000;00:00:03:995000;00:00:03:999000;00:00:00:175000;00:00:00:135000;;41832;25;14;6;0;0;0;0;51;;23;0;0;7;7;29975;0;0;
2015-04-28	20:35:09.220813	1430253309.220813;2015-04-28	20:35:23.235542	1430253323.235542;2015-04-28	20:35:25.237403	1430253325.237403;00:00:02;00:00:16;10;2998;2994.01;5999;47952;0;0;47952;11987;2267;15032;3686;20933;0;0;0;0;0;0;0;0;3686;20933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;23;80;0;0;3686;20963;0;0;0;0;0;0;00:00:00:003000;00:00:00:002000;00:00:00:027000;00:00:00:019000;00:00:04:004000;00:00:03:999000;00:00:00:061000;00:00:00:126000;;47799;34;17;6;0;0;0;0;69;;24;0;0;7;7;35927;0;0;
2015-04-28	20:35:09.220813	1430253309.220813;2015-04-28	20:35:25.237483	1430253325.237483;2015-04-28	20:35:27.238371	1430253327.238371;00:00:02;00:00:18;10;3004;2994.95;6008;53960;0;0;53960;11998;2079;17111;3918;24851;0;0;0;0;0;0;0;0;3918;24851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;44;7;87;0;0;3932;24895;0;0;0;0;0;0;00:00:00:003000;00:00:00:002000;00:00:00:044000;00:00:00:023000;00:00:03:998000;00:00:03:999000;00:00:00:147000;00:00:00:129000;;53795;45;17;6;0;0;0;0;76;;32;0;0;7;7;41916;0;0;
