Date_ms;response_time_ms;rtd_no
4.053;2.154;1
4.349;1.243;1
4.482;1.367;1
6.259;0.528;1
6.353;0.613;1
7.92;0.391;1
8.041;0.509;1
9.664;0.408;1
9.775;0.514;1
12.803;0.691;1
12.943;0.828;1
13.081;0.963;1
14.852;0.554;1
14.957;0.656;1
16.759;0.587;1
16.859;0.684;1
19.355;1.162;1
19.453;1.256;1
21.282;0.588;1
21.379;0.676;1
23.158;0.526;1
23.241;0.605;1
25.816;0.597;1
25.936;0.713;1
26.064;0.838;1
27.711;0.423;1
27.804;0.513;1
30.808;0.627;1
30.909;0.723;1
30.997;0.808;1
32.704;0.4;1
32.803;0.493;1
35.854;0.633;1
35.972;0.746;1
36.064;0.835;1
37.845;0.51;1
37.995;0.656;1
39.756;0.538;1
39.87;0.648;1
41.79;0.663;1
41.884;0.752;1
44.123;0.971;1
44.218;1.058;1
46.036;0.56;1
46.129;0.648;1
47.803;0.471;1
47.899;0.563;1
49.604;0.46;1
49.735;0.586;1
53.006;0.849;1
53.104;0.942;1
53.193;1.022;1
54.924;0.553;1
55.027;0.653;1
56.686;0.426;1
56.83;0.565;1
59.265;1.178;1
59.405;1.313;1
61.413;0.749;1
61.554;0.884;1
63.466;0.652;1
63.608;0.789;1
65.544;0.67;1
65.682;0.803;1
67.549;0.651;1
67.685;0.782;1
69.499;0.587;1
69.646;0.73;1
71.7;0.829;1
71.816;0.941;1
73.923;0.851;1
74.071;0.995;1
74.175;1.095;1
76.157;0.721;1
76.284;0.843;1
78.164;0.615;1
78.306;0.752;1
80.253;0.684;1
80.364;0.79;1
82.248;0.614;1
82.38;0.742;1
84.333;0.692;1
84.496;0.85;1
86.473;0.683;1
86.587;0.792;1
88.456;0.601;1
88.589;0.729;1
90.494;0.649;1
90.629;0.777;1
92.561;0.663;1
92.669;0.766;1
94.626;0.692;1
94.736;0.797;1
96.679;0.621;1
96.807;0.744;1
96.935;0.869;1
99.239;0.96;1
99.349;1.066;1
101.227;0.617;1
101.394;0.779;1
103.33;0.672;1
103.439;0.776;1
105.264;0.568;1
105.412;0.711;1
107.246;0.571;1
107.382;0.702;1
109.212;0.561;1
109.373;0.717;1
111.281;0.638;1
111.417;0.769;1
113.368;0.686;1
113.477;0.79;1
115.389;0.645;1
115.498;0.75;1
117.406;0.648;1
117.514;0.752;1
119.399;0.62;1
119.534;0.75;1
121.524;0.721;1
121.632;0.824;1
123.587;0.689;1
123.828;0.925;1
125.82;0.735;1
126.024;0.935;1
126.15;1.056;1
128.14;0.681;1
128.268;0.804;1
130.118;0.589;1
130.311;0.777;1
132.235;0.615;1
132.454;0.83;1
134.4;0.673;1
134.567;0.835;1
136.429;0.601;1
136.595;0.762;1
139.016;1.109;1
139.266;1.282;1
140.012;0.849;1
140.12;0.952;1
142.25;0.805;1
142.36;0.91;1
144.369;0.784;1
144.502;0.912;1
146.573;0.841;1
146.683;0.946;1
148.821;0.862;1
148.929;0.965;1
150.939;0.768;1
151.069;0.893;1
151.158;0.978;1
153.248;0.858;1
153.385;0.99;1
155.411;0.785;1
155.59;0.96;1
157.528;0.701;1
157.657;0.825;1
159.564;0.612;1
159.714;0.758;1
161.566;0.613;1
161.702;0.743;1
163.534;0.593;1
163.75;0.804;1
166.285;1.244;1
166.404;1.357;1
166.494;1.442;1
168.53;0.734;1
168.639;0.838;1
171.238;1.29;1
171.344;1.392;1
171.771;0.678;1
171.921;0.823;1
175.343;1.052;1
175.501;1.204;1
175.604;1.303;1
177.518;0.635;1
177.663;0.775;1
179.575;0.719;1
179.687;0.826;1
181.768;0.82;1
181.879;0.926;1
183.784;0.736;1
183.952;0.899;1
184.057;1;1
186.01;0.745;1
186.13;0.86;1
188.035;0.747;1
188.148;0.855;1
190.167;0.734;1
190.278;0.84;1
192.29;0.714;1
192.399;0.819;1
194.393;0.709;1
194.506;0.817;1
196.533;0.748;1
196.64;0.851;1
198.674;0.754;1
198.785;0.86;1
200.87;0.775;1
200.979;0.88;1
201.08;0.976;1
203.081;0.65;1
203.194;0.759;1
205.102;0.629;1
205.239;0.761;1
207.2;0.676;1
207.337;0.808;1
209.299;0.687;1
209.423;0.806;1
211.457;0.734;1
211.566;0.838;1
213.565;0.716;1
213.671;0.817;1
215.563;0.612;1
215.697;0.741;1
217.708;0.738;1
217.818;0.843;1
219.99;0.824;1
220.162;0.986;1
220.288;1.108;1
222.372;0.786;1
222.484;0.893;1
224.43;0.665;1
224.539;0.769;1
226.448;0.63;1
226.586;0.763;1
228.484;0.652;1
228.62;0.783;1
230.488;0.587;1
230.619;0.714;1
232.518;0.622;1
232.624;0.723;1
234.547;0.646;1
234.655;0.75;1
236.602;0.665;1
236.709;0.767;1
238.642;0.649;1
238.751;0.753;1
240.65;0.62;1
240.811;0.776;1
240.915;0.876;1
243.272;1.023;1
243.382;1.128;1
245.356;0.691;1
245.464;0.794;1
247.486;0.743;1
247.595;0.848;1
249.578;0.701;1
249.687;0.805;1
251.637;0.666;1
251.747;0.771;1
253.706;0.677;1
253.832;0.798;1
253.934;0.896;1
255.768;0.487;1
255.905;0.619;1
258.201;0.948;1
258.311;1.053;1
260.236;0.647;1
260.365;0.771;1
262.276;0.711;1
262.386;0.816;1
264.28;0.609;1
264.417;0.742;1
266.321;0.625;1
266.458;0.758;1
268.416;0.664;1
268.524;0.767;1
270.473;0.674;1
270.585;0.782;1
272.577;0.709;1
272.685;0.812;1
274.634;0.642;1
274.743;0.747;1
276.648;0.623;1
276.799;0.769;1
276.902;0.868;1
279.257;0.989;1
279.367;1.094;1
281.386;0.752;1
281.494;0.855;1
283.525;0.752;1
283.634;0.856;1
285.579;0.666;1
285.688;0.77;1
287.641;0.671;1
287.75;0.775;1
289.863;0.836;1
290.005;0.973;1
290.112;1.076;1
292.141;0.701;1
292.279;0.834;1
294.273;0.712;1
294.381;0.815;1
296.373;0.708;1
296.48;0.81;1
298.427;0.763;1
298.538;0.869;1
300.437;0.618;1
300.572;0.748;1
302.646;0.788;1
302.755;0.892;1
304.675;0.637;1
304.821;0.778;1
304.925;0.878;1
307.366;1.08;1
307.475;1.185;1
309.462;0.742;1
309.568;0.843;1
311.716;0.887;1
311.842;1.008;1
313.884;0.763;1
314.064;0.937;1
314.169;1.038;1
316.371;0.923;1
316.486;1.033;1
318.448;0.774;1
318.558;0.879;1
320.55;0.677;1
320.658;0.78;1
322.691;0.703;1
322.803;0.81;1
324.809;0.7;1
324.919;0.805;1
325.018;0.899;1
326.947;0.577;1
327.057;0.683;1
329.037;0.699;1
329.145;0.802;1
331.176;0.75;1
331.294;0.863;1
333.407;0.827;1
333.516;0.931;1
335.548;0.747;1
335.658;0.853;1
337.713;0.775;1
337.848;0.905;1
339.892;0.787;1
340.002;0.893;1
340.128;1.014;1
342.161;0.742;1
342.274;0.85;1
344.202;0.693;1
344.31;0.796;1
346.121;0.575;1
346.257;0.706;1
348.089;0.544;1
348.22;0.67;1
350.052;0.584;1
350.162;0.689;1
352.004;0.604;1
352.113;0.708;1
353.937;0.564;1
354.077;0.699;1
356.086;0.758;1
356.197;0.864;1
358.11;0.629;1
358.219;0.733;1
360.15;0.645;1
360.259;0.749;1
362.109;0.609;1
362.22;0.716;1
363.992;0.532;1
364.119;0.654;1
365.9;0.524;1
366.059;0.678;1
367.858;0.559;1
367.984;0.68;1
369.825;0.553;1
369.951;0.675;1
371.751;0.481;1
371.916;0.641;1
374.225;0.985;1
374.334;1.089;1
376.21;0.596;1
376.343;0.724;1
378.191;0.56;1
378.326;0.691;1
380.167;0.575;1
380.275;0.678;1
382.167;0.632;1
382.319;0.779;1
384.188;0.623;1
384.377;0.807;1
386.242;0.625;1
386.42;0.798;1
388.27;0.607;1
388.49;0.823;1
390.14;0.454;1
390.243;0.552;1
392.074;0.615;1
392.183;0.719;1
394.059;0.65;1
394.169;0.755;1
395.993;0.585;1
396.103;0.69;1
398.04;0.682;1
398.152;0.789;1
400.035;0.652;1
400.144;0.756;1
401.956;0.57;1
402.1;0.709;1
403.902;0.563;1
404.009;0.665;1
405.942;0.572;1
406.117;0.741;1
407.949;0.595;1
408.082;0.723;1
410.027;0.683;1
410.165;0.816;1
411.991;0.587;1
412.125;0.716;1
413.951;0.579;1
414.121;0.744;1
415.969;0.606;1
416.103;0.735;1
418.104;0.752;1
418.279;0.922;1
420.304;0.761;1
420.467;0.919;1
422.323;0.599;1
422.473;0.744;1
424.3;0.589;1
424.434;0.718;1
426.271;0.596;1
426.38;0.7;1
428.202;0.587;1
428.308;0.689;1
