StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-22	08:50:13.725413	1429692613.725413;2015-04-22	08:50:13.725413	1429692613.725413;2015-04-22	08:50:13.728068	1429692613.728068;00:00:00;00:00:00;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:50:13.725413	1429692613.725413;2015-04-22	08:50:13.728408	1429692613.728408;2015-04-22	08:50:14.728844	1429692614.728844;00:00:01;00:00:01;3000;2999;2990.03;0;0;2999;2999;2999;1809;1189;1189;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;898;898;0;0;4;4;0;0;0;0;0;0;00:00:00:114000;00:00:00:114000;00:00:00:208000;00:00:00:208000;00:00:00:164000;00:00:00:164000;00:00:00:231000;00:00:00:231000;;1258;0;0;0;0;0;0;0;357;;441;380;0;0;369;0;0;0;
2015-04-22	08:50:13.725413	1429692613.725413;2015-04-22	08:50:14.728915	1429692614.728915;2015-04-22	08:50:15.731148	1429692615.731148;00:00:01;00:00:02;3000;2977.05;2983.54;0;0;2983;5982;5982;3346;1446;2635;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;40;3115;4013;0;0;37;41;0;0;0;0;0;0;00:00:00:320000;00:00:00:228000;00:00:00:393000;00:00:00:339000;00:00:00:517000;00:00:00:358000;00:00:00:406000;00:00:00:381000;;2254;0;0;0;0;0;0;0;1367;;485;729;0;0;1085;337;0;0;
2015-04-22	08:50:13.725413	1429692613.725413;2015-04-22	08:50:15.731247	1429692615.731247;2015-04-22	08:50:16.731769	1429692616.731769;00:00:01;00:00:03;3000;2994;2986.03;0;0;2994;8976;8976;5006;1334;3969;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;251;4499;8512;0;0;211;252;0;0;0;0;0;0;00:00:00:591000;00:00:00:342000;00:00:00:599000;00:00:00:469000;00:00:00:874000;00:00:00:531000;00:00:00:618000;00:00:00:533000;;2752;117;0;0;0;0;0;0;2413;;488;912;0;0;1622;948;0;0;
2015-04-22	08:50:13.725413	1429692613.725413;2015-04-22	08:50:16.731849	1429692616.731849;2015-04-22	08:50:17.734127	1429692617.734127;00:00:01;00:00:04;3000;2976.05;2983.53;0;0;2982;11958;11958;6378;1610;5579;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;310;561;5763;14275;0;0;310;562;0;0;0;0;0;0;00:00:00:689000;00:00:00:438000;00:00:00:797000;00:00:00:599000;00:00:01:148000;00:00:00:709000;00:00:00:853000;00:00:00:700000;;3258;367;0;0;0;0;0;0;3681;;494;1158;0;0;2012;1916;0;0;
2015-04-22	08:50:13.725413	1429692613.725413;2015-04-22	08:50:17.734218	1429692617.734218;2015-04-22	08:50:18.734933	1429692618.734933;00:00:01;00:00:05;3000;2994;2985.03;0;0;2994;14952;14952;7906;1466;7045;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;461;1022;6396;20671;0;0;461;1023;0;0;0;0;0;0;00:00:00:902000;00:00:00:540000;00:00:01:139000;00:00:00:775000;00:00:01:389000;00:00:00:850000;00:00:01:181000;00:00:00:868000;;4084;367;3;0;0;0;0;0;4901;;522;1341;0;0;2421;2762;0;0;
2015-04-22	08:50:13.725413	1429692613.725413;2015-04-22	08:50:18.735058	1429692618.735058;2015-04-22	08:50:19.736690	1429692619.736690;00:00:01;00:00:06;3000;2972.03;2982.37;0;0;2975;17927;17927;8659;2222;9267;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;794;1816;6647;27318;0;0;794;1817;0;0;0;0;0;0;00:00:01:064000;00:00:00:650000;00:00:01:211000;00:00:00:910000;00:00:01:589000;00:00:01:028000;00:00:01:353000;00:00:01:054000;;4898;367;3;0;0;0;4;0;6574;;618;1529;0;5;3006;4047;63;0;
2015-04-22	08:50:13.725413	1429692613.725413;2015-04-22	08:50:19.736765	1429692619.736765;2015-04-22	08:50:20.737678	1429692620.737678;00:00:01;00:00:07;3000;2999;2984.31;0;0;2999;20926;20926;9667;1991;11258;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;852;2668;7132;34450;0;0;852;2669;0;0;0;0;0;0;00:00:01:252000;00:00:00:752000;00:00:01:345000;00:00:01:023000;00:00:01:929000;00:00:01:187000;00:00:01:497000;00:00:01:196000;;5673;368;3;0;0;0;4;0;8225;;685;1649;0;5;3447;5330;143;0;
2015-04-22	08:50:13.725413	1429692613.725413;2015-04-22	08:50:20.737761	1429692620.737761;2015-04-22	08:50:21.739842	1429692621.739842;00:00:01;00:00:08;3000;2101.8;2873.97;0;0;2106;23032;23032;9996;1777;13035;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1246;3914;7105;41555;0;0;1246;3915;0;0;0;0;0;0;00:00:01:740000;00:00:00:860000;00:00:01:777000;00:00:01:171000;00:00:02:278000;00:00:01:336000;00:00:01:714000;00:00:01:332000;;5999;368;3;0;0;0;4;0;9646;;696;1690;0;5;3817;6521;307;0;
2015-04-22	08:50:13.725413	1429692613.725413;2015-04-22	08:50:21.739921	1429692621.739921;2015-04-22	08:50:22.741113	1429692622.741113;00:00:01;00:00:09;3000;1642.36;2737.22;0;0;1644;24676;24676;10000;1640;14675;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1450;5364;6618;48173;0;0;1450;5365;0;0;0;0;0;0;00:00:02:401000;00:00:01:003000;00:00:02:498000;00:00:01:422000;00:00:02:876000;00:00:01:508000;00:00:02:300000;00:00:01:550000;;6172;414;3;2;0;0;4;0;11064;;701;1739;0;5;4069;7581;581;0;
