Date_ms;response_time_ms;rtd_no
4.59;2.495;1
4.879;2.773;1
4.926;2.816;1
5.088;2.972;1
5.153;3.034;1
5.213;3.088;1
6.534;1.998;1
6.598;2.055;1
6.721;2.163;1
6.795;2.232;1
6.9;2.335;1
6.963;2.394;1
9.176;2.878;1
9.419;3.118;1
9.534;3.228;1
9.937;3.629;1
10.528;4.216;1
10.872;4.558;1
15.264;4.97;1
15.387;5.09;1
15.467;5.141;1
15.548;5.218;1
18.819;3.752;1
18.916;3.846;1
20.807;3.565;1
23.342;3.294;1
23.555;3.503;1
23.716;3.661;1
23.83;3.773;1
23.916;3.856;1
24.002;3.94;1
24.078;4.013;1
24.144;4.072;1
24.209;4.135;1
26.349;3.318;1
26.55;3.516;1
26.634;3.597;1
26.694;3.632;1
28.747;3.402;1
30.991;3.136;1
31.331;3.462;1
31.43;3.557;1
31.53;3.653;1
31.603;3.719;1
31.752;3.865;1
34.198;4.28;1
34.29;4.367;1
34.372;4.444;1
34.472;4.541;1
34.572;4.637;1
34.641;4.702;1
34.876;3.804;1
35.007;3.932;1
35.431;4.354;1
35.5;4.42;1
35.569;4.486;1
35.7;4.615;1
38.024;4.074;1
38.468;3.402;1
38.6;3.526;1
38.689;3.599;1
38.774;3.681;1
41.715;3.987;1
41.871;4.14;1
41.996;4.213;1
42.102;4.317;1
42.19;4.403;1
42.274;4.483;1
44.261;4.301;1
46.959;3.501;1
47.275;3.809;1
47.365;3.892;1
49.411;3.971;1
49.535;4.089;1
49.624;4.175;1
49.71;4.257;1
50.626;3.578;1
50.8;3.748;1
50.935;3.88;1
51.415;4.357;1
51.507;4.445;1
51.593;4.529;1
53.404;4.237;1
53.499;4.29;1
55.456;4.411;1
55.552;4.502;1
55.692;4.628;1
56.903;3.863;1
57.008;3.959;1
58.819;3.671;1
58.931;3.779;1
59.351;4.196;1
59.443;4.271;1
59.531;4.355;1
59.674;4.495;1
61.663;4.569;1
62.875;3.773;1
63.002;3.887;1
63.314;4.197;1
65.618;4.221;1
65.716;4.3;1
67.009;3.919;1
68.607;3.342;1
68.767;3.497;1
68.896;3.623;1
69.372;4.096;1
69.463;4.178;1
69.56;4.271;1
71.269;4.166;1
73.365;4.283;1
73.462;4.371;1
74.732;3.711;1
74.866;3.841;1
74.989;3.954;1
75.454;4.416;1
75.546;4.505;1
77.346;4.279;1
77.445;4.375;1
77.535;4.446;1
78.943;3.827;1
80.5;3.428;1
80.622;3.546;1
80.757;3.678;1
80.874;3.792;1
80.963;3.878;1
81.363;4.248;1
83.397;4.385;1
83.491;4.471;1
84.999;3.91;1
86.598;3.469;1
86.747;3.614;1
86.877;3.734;1
87.01;3.864;1
87.485;4.336;1
87.576;4.424;1
89.498;4.421;1
91.387;4.252;1
91.483;4.338;1
91.571;4.413;1
92.994;3.775;1
93.446;4.222;1
93.544;4.31;1
93.631;4.386;1
95.503;4.478;1
95.598;4.569;1
95.728;4.686;1
95.828;4.764;1
95.917;4.846;1
97.542;4.461;1
97.645;4.556;1
99.327;4.14;1
99.421;4.231;1
100.89;3.733;1
101.321;4.156;1
102.994;3.946;1
103.41;4.358;1
103.513;4.458;1
103.601;4.543;1
105.5;4.479;1
107.476;4.397;1
107.571;4.465;1
107.696;4.575;1
110.674;3.513;1
110.813;3.648;1
110.934;3.765;1
111.362;4.19;1
111.461;4.286;1
111.549;4.371;1
115.376;4.365;1
115.48;4.465;1
115.57;4.524;1
117.496;4.277;1
117.592;4.357;1
119.004;3.975;1
119.414;4.381;1
119.508;4.471;1
119.598;4.526;1
121.531;4.354;1
123.408;4.284;1
123.503;4.372;1
123.597;4.463;1
123.727;4.582;1
125.52;4.279;1
125.617;4.353;1
127.541;4.426;1
127.669;4.549;1
127.766;4.637;1
127.853;4.715;1
129.478;4.367;1
129.604;4.489;1
129.694;4.576;1
129.791;4.67;1
131.489;4.334;1
131.665;4.502;1
131.76;4.594;1
131.848;4.657;1
133.495;4.376;1
135.298;4.248;1
136.791;3.664;1
136.954;3.822;1
137.289;4.153;1
137.379;4.233;1
138.703;3.622;1
138.812;3.726;1
138.944;3.855;1
139.405;4.313;1
139.498;4.401;1
139.585;4.485;1
143.205;4.094;1
145.762;3.723;1
145.924;3.88;1
146.467;4.419;1
146.579;4.527;1
146.683;4.627;1
146.784;4.713;1
148.609;4.128;1
148.721;4.235;1
148.865;4.375;1
148.969;4.467;1
149.07;4.564;1
149.916;3.895;1
150.442;4.416;1
150.549;4.519;1
150.65;4.588;1
152.006;3.913;1
152.468;4.37;1
152.574;4.454;1
153.744;3.703;1
155.808;3.653;1
155.948;3.788;1
156.199;4.035;1
156.304;4.137;1
156.405;4.226;1
156.505;4.322;1
158.979;3.942;1
159.128;4.085;1
159.316;4.269;1
159.422;4.371;1
159.524;4.446;1
159.66;4.549;1
159.77;4.65;1
160.454;4.428;1
162.461;4.021;1
162.572;4.117;1
162.674;4.214;1
162.783;4.32;1
162.884;4.414;1
163.801;3.771;1
163.963;3.929;1
164.509;4.459;1
166.427;4.375;1
166.536;4.472;1
168.004;3.966;1
168.538;4.495;1
168.644;4.597;1
168.745;4.679;1
169.724;3.646;1
169.859;3.776;1
169.993;3.887;1
170.606;4.496;1
170.712;4.587;1
171.94;3.82;1
172.531;4.406;1
172.64;4.511;1
172.743;4.59;1
172.844;4.665;1
173.964;3.841;1
174.613;4.485;1
174.723;4.547;1
174.851;4.669;1
174.954;4.768;1
175.054;4.864;1
176.806;4.693;1
176.921;4.803;1
177.024;4.89;1
177.127;4.961;1
177.23;5.05;1
179.044;4.893;1
179.154;4.998;1
179.257;5.097;1
179.357;5.193;1
179.459;5.291;1
180.001;3.791;1
180.642;4.428;1
180.75;4.533;1
180.852;4.631;1
180.953;4.728;1
182.567;4.183;1
182.677;4.278;1
182.78;4.377;1
184.034;3.925;1
184.623;4.509;1
184.731;4.613;1
184.834;4.672;1
184.936;4.765;1
186.632;4.547;1
186.742;4.653;1
186.845;4.752;1
186.946;4.841;1
187.047;4.932;1
188.764;4.615;1
188.884;4.73;1
188.987;4.829;1
189.088;4.909;1
189.189;5.005;1
189.291;5.095;1
190.695;4.623;1
190.807;4.726;1
190.911;4.823;1
192.69;4.519;1
192.804;4.625;1
192.906;4.724;1
193.007;4.813;1
194.894;4.72;1
195.005;4.787;1
195.766;3.662;1
195.932;3.78;1
196.418;4.262;1
196.525;4.366;1
197.964;3.677;1
198.571;4.28;1
198.68;4.384;1
198.781;4.482;1
198.882;4.579;1
198.983;4.629;1
200.638;4.594;1
200.75;4.7;1
200.852;4.799;1
200.953;4.896;1
201.053;4.992;1
202.807;4.669;1
202.918;4.774;1
203.022;4.874;1
203.123;4.968;1
204.757;4.631;1
204.868;4.737;1
204.971;4.836;1
205.072;4.933;1
205.172;5.03;1
205.273;5.12;1
206.795;4.589;1
206.904;4.694;1
207.013;4.799;1
207.116;4.898;1
207.215;4.967;1
207.314;5.061;1
208.88;4.728;1
209.001;4.829;1
209.105;4.91;1
211.002;4.88;1
211.113;4.955;1
211.215;5.053;1
211.317;5.151;1
211.418;5.249;1
212.881;4.532;1
212.996;4.63;1
213.101;4.732;1
214.615;4.18;1
214.727;4.257;1
214.838;4.364;1
214.939;4.462;1
216.592;4.232;1
218.443;4.316;1
218.555;4.424;1
218.657;4.514;1
218.759;4.611;1
220.54;4.444;1
220.652;4.518;1
220.754;4.592;1
220.855;4.689;1
221.674;3.632;1
221.815;3.767;1
221.946;3.89;1
222.503;4.444;1
223.611;3.581;1
223.862;3.827;1
223.989;3.95;1
224.439;4.397;1
224.544;4.445;1
225.988;3.94;1
226.495;4.442;1
226.605;4.548;1
226.707;4.627;1
227.912;3.817;1
228.482;4.381;1
228.593;4.488;1
229.797;3.641;1
229.994;3.833;1
230.581;4.416;1
230.689;4.52;1
230.79;4.618;1
230.892;4.716;1
231.812;3.744;1
231.995;3.922;1
232.624;4.547;1
232.739;4.634;1
232.843;4.733;1
232.944;4.823;1
234.845;4.678;1
234.955;4.783;1
235.056;4.88;1
235.158;4.954;1
235.259;5.047;1
236.756;4.618;1
236.868;4.721;1
236.971;4.785;1
237.072;4.882;1
238.047;3.756;1
238.553;4.238;1
238.66;4.313;1
239.948;3.898;1
240.408;4.349;1
240.524;4.432;1
240.635;4.539;1
242.641;4.48;1
242.753;4.587;1
242.859;4.685;1
242.962;4.78;1
244.549;4.484;1
244.661;4.578;1
244.763;4.677;1
244.864;4.771;1
246.01;3.893;1
246.543;4.422;1
248.004;3.942;1
248.432;4.355;1
250.503;4.411;1
250.612;4.475;1
252.404;4.27;1
252.515;4.374;1
252.617;4.466;1
253.798;3.647;1
253.985;3.83;1
254.518;4.355;1
256.009;3.944;1
256.522;4.448;1
256.628;4.539;1
258.033;3.973;1
258.553;4.488;1
258.67;4.588;1
258.773;4.684;1
259.721;3.523;1
259.917;3.714;1
260.529;4.313;1
260.645;4.424;1
260.749;4.525;1
260.849;4.621;1
261.999;3.839;1
262.627;4.462;1
262.742;4.573;1
262.854;4.681;1
262.957;4.781;1
264.849;4.735;1
264.963;4.844;1
265.068;4.937;1
265.171;5.037;1
265.274;5.136;1
266.762;4.66;1
266.872;4.758;1
266.975;4.857;1
267.077;4.948;1
