StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-22	08:56:36.406037	1429692996.406037;2015-04-22	08:56:36.406037	1429692996.406037;2015-04-22	08:56:36.413288	1429692996.413288;00:00:00;00:00:00;5000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:56:36.406037	1429692996.406037;2015-04-22	08:56:36.413825	1429692996.413825;2015-04-22	08:56:37.414045	1429692997.414045;00:00:01;00:00:01;5000;4965;4925.6;0;0;4965;4965;4965;131;4834;4834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;53;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:051000;00:00:00:051000;00:00:00:008000;00:00:00:008000;00:00:00:045000;00:00:00:045000;;4815;10;0;0;0;0;0;0;52;;4606;188;0;0;40;0;0;0;
2015-04-22	08:56:36.406037	1429692996.406037;2015-04-22	08:56:37.414126	1429692997.414126;2015-04-22	08:56:38.415841	1429692998.415841;00:00:01;00:00:02;5000;4995;4960.18;0;0;5000;9965;9965;74;5057;9891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;182;0;0;0;0;0;0;0;0;0;0;00:00:00:009000;00:00:00:008000;00:00:00:062000;00:00:00:057000;00:00:00:012000;00:00:00:010000;00:00:00:066000;00:00:00:057000;;9795;10;0;0;0;0;0;0;132;;9573;188;0;0;130;0;0;0;
2015-04-22	08:56:36.406037	1429692996.406037;2015-04-22	08:56:38.415923	1429692998.415923;2015-04-22	08:56:39.416936	1429692999.416936;00:00:01;00:00:03;5000;4990.01;4970.1;0;0;4995;14960;14960;411;4658;14549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;419;0;0;0;0;0;0;0;0;0;0;00:00:00:029000;00:00:00:015000;00:00:00:112000;00:00:00:080000;00:00:00:030000;00:00:00:016000;00:00:00:108000;00:00:00:078000;;14208;61;20;0;0;0;0;0;386;;13544;648;0;0;357;0;0;0;
2015-04-22	08:56:36.406037	1429692996.406037;2015-04-22	08:56:39.416994	1429692999.416994;2015-04-22	08:56:40.418134	1429693000.418134;00:00:01;00:00:04;5000;4995;4975.07;0;0;5000;19960;19960;295;5116;19665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;295;714;0;0;9;9;0;0;0;0;0;0;00:00:00:026000;00:00:00:017000;00:00:00:131000;00:00:00:096000;00:00:00:034000;00:00:00:021000;00:00:00:150000;00:00:00:102000;;19112;61;20;0;0;0;0;0;590;;18328;742;0;0;541;54;0;0;
2015-04-22	08:56:36.406037	1429692996.406037;2015-04-22	08:56:40.418200	1429693000.418200;2015-04-22	08:56:41.419832	1429693001.419832;00:00:01;00:00:05;5000;4977.02;4975.46;0;0;4982;24942;24942;329;4948;24613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;278;992;0;0;0;9;0;0;0;0;0;0;00:00:00:011000;00:00:00:016000;00:00:00:087000;00:00:00:094000;00:00:00:014000;00:00:00:019000;00:00:00:087000;00:00:00:099000;;23974;79;20;0;0;0;0;0;671;;23049;888;0;0;615;61;0;0;
2015-04-22	08:56:36.406037	1429692996.406037;2015-04-22	08:56:41.419933	1429693001.419933;2015-04-22	08:56:42.420934	1429693002.420934;00:00:01;00:00:06;5000;4986.01;4977.22;0;0;4991;29933;29933;489;4831;29444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;18;380;1372;0;0;9;18;0;0;0;0;0;0;00:00:00:029000;00:00:00:018000;00:00:00:141000;00:00:00:103000;00:00:00:037000;00:00:00:022000;00:00:00:152000;00:00:00:110000;;28617;79;20;0;0;0;0;0;888;;27249;1250;0;0;859;86;0;0;
2015-04-22	08:56:36.406037	1429692996.406037;2015-04-22	08:56:42.420986	1429693002.420986;2015-04-22	08:56:43.422054	1429693003.422054;00:00:01;00:00:07;5000;4978.02;4976.62;0;0;4983;34916;34916;539;4933;34377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;25;545;1917;0;0;7;25;0;0;0;0;0;0;00:00:00:037000;00:00:00:021000;00:00:00:156000;00:00:00:113000;00:00:00:049000;00:00:00:026000;00:00:00:190000;00:00:00:125000;;33228;139;20;0;0;0;0;0;1186;;31681;1397;0;0;1168;131;0;0;
2015-04-22	08:56:36.406037	1429692996.406037;2015-04-22	08:56:43.422117	1429693003.422117;2015-04-22	08:56:44.423875	1429693004.423875;00:00:01;00:00:08;5000;4985.02;4977.67;0;0;4990;39906;39906;561;4968;39345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;29;560;2477;0;0;4;29;0;0;0;0;0;0;00:00:00:043000;00:00:00:024000;00:00:00:199000;00:00:00:127000;00:00:00:058000;00:00:00:030000;00:00:00:219000;00:00:00:141000;;37837;177;21;0;0;0;0;0;1520;;36099;1546;0;0;1495;205;0;0;
2015-04-22	08:56:36.406037	1429692996.406037;2015-04-22	08:56:44.423949	1429693004.423949;2015-04-22	08:56:45.425015	1429693005.425015;00:00:01;00:00:09;5000;5002;4980.37;0;0;5007;44913;44913;532;5036;44381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;58;520;2997;0;0;29;58;0;0;0;0;0;0;00:00:00:037000;00:00:00:025000;00:00:00:171000;00:00:00:133000;00:00:00:058000;00:00:00:033000;00:00:00:241000;00:00:00:156000;;42560;209;21;0;0;0;0;0;1793;;40549;1778;0;0;1752;302;0;0;
