Date_ms;response_time_ms;rtd_no
31.385;3.154;1
34.322;5.906;1
34.473;5.937;1
36.788;8.128;1
36.821;8.042;1
36.855;7.955;1
36.895;7.867;1
36.932;7.768;1
36.969;7.643;1
37.021;7.435;1
37.071;7.318;1
37.095;7.228;1
37.132;7.108;1
37.181;7.035;1
37.217;6.866;1
37.285;6.799;1
37.305;6.677;1
37.341;6.58;1
37.377;6.263;1
37.415;6.181;1
38.395;6.891;1
38.423;6.61;1
38.442;6.492;1
38.461;6.279;1
38.498;6.04;1
38.536;5.522;1
41.047;5.219;1
42.939;6.976;1
44.67;8.575;1
46.415;10.22;1
46.444;10.174;1
48.407;12.066;1
50.153;13.732;1
52.029;15.535;1
53.833;17.251;1
53.862;17.189;1
58.955;20.717;1
60.632;22.312;1
62.478;23.782;1
64.239;25.39;1
64.267;25.326;1
64.287;25.259;1
68.079;28.594;1
70.066;18.553;1
72.034;16.708;1
74.026;18.4;1
74.054;16.446;1
76.056;18.36;1
76.084;16.626;1
76.104;14.562;1
78.153;14.505;1
80.089;14.535;1
80.119;12.884;1
82.069;14.563;1
84.126;16.463;1
84.155;16.422;1
84.174;14.811;1
84.192;14.765;1
86.143;14.805;1
88.065;16.388;1
88.094;14.565;1
91.156;15.855;1
91.223;15.77;1
91.254;15.709;1
91.285;15.597;1
91.315;13.801;1
91.382;12.018;1
95.621;16.169;1
95.692;14.197;1
95.726;12.446;1
95.756;12.309;1
95.807;12.276;1
95.844;10.447;1
95.874;10.391;1
95.913;8.305;1
95.943;8.247;1
95.972;6.628;1
96;6.449;1
96.028;6.355;1
96.055;6.278;1
96.083;6.167;1
96.11;6.095;1
96.138;5.965;1
98.177;7.194;1
98.204;6.376;1
98.224;6.121;1
98.243;4.984;1
98.297;4.804;1
98.594;4.581;1
98.637;3.899;1
98.657;3.721;1
98.675;3.626;1
98.709;3.524;1
98.732;3.387;1
98.75;3.292;1
100.599;3.113;1
100.654;3.095;1
102.999;5.373;1
103.028;5.341;1
103.047;5.273;1
103.084;5.236;1
103.105;5.2;1
103.139;5.174;1
103.161;5.102;1
103.194;4.677;1
103.217;3.873;1
103.236;3.819;1
103.272;3.772;1
103.292;3.698;1
103.31;3.608;1
105.168;5.371;1
105.194;5.322;1
105.213;5.236;1
105.323;5.241;1
105.345;5.142;1
105.38;4.926;1
105.402;4.656;1
105.42;4.588;1
105.454;4.528;1
105.475;4.416;1
105.965;4.812;1
106.008;4.598;1
106.06;4.478;1
106.128;4.452;1
106.166;4.396;1
106.217;4.358;1
106.254;4.291;1
106.291;4.249;1
106.329;4.189;1
106.367;4.011;1
106.404;3.921;1
106.457;3.851;1
106.505;3.775;1
107.948;5.042;1
107.976;4.094;1
107.995;4.019;1
108.064;4.013;1
108.122;3.935;1
108.18;3.815;1
108.231;3.751;1
108.274;3.661;1
108.329;3.604;1
110.51;5.67;1
110.552;5.618;1
110.608;5.598;1
110.646;5.559;1
110.681;4.985;1
110.704;4.918;1
110.723;4.835;1
110.741;3.569;1
110.801;3.536;1
110.842;3.503;1
110.862;3.445;1
112.726;5.232;1
112.753;5.187;1
112.772;5.115;1
112.812;5.065;1
112.833;4.992;1
112.869;4.055;1
112.89;3.987;1
112.982;3.966;1
113.005;3.91;1
113.024;3.852;1
113.061;3.719;1
113.082;3.645;1
114.003;4.47;1
114.048;4.425;1
114.127;4.411;1
114.177;4.371;1
114.235;4.328;1
114.286;4.3;1
114.326;4.227;1
114.364;4.118;1
114.414;4.034;1
114.454;3.068;1
114.508;3.028;1
115.839;4.28;1
115.867;4.235;1
115.903;4.195;1
115.925;4.128;1
115.943;4.04;1
115.961;3.983;1
115.996;3.895;1
116.064;3.832;1
116.122;3.763;1
116.161;3.681;1
116.2;3.59;1
116.241;2.755;1
118.073;4.496;1
118.115;4.443;1
118.184;4.437;1
118.223;4.4;1
118.273;4.351;1
118.313;3.252;1
118.351;3.211;1
118.403;3.189;1
118.442;3.14;1
118.48;3.091;1
118.529;3.046;1
118.553;2.981;1
120.312;4.651;1
120.389;4.638;1
120.443;3.567;1
120.495;3.537;1
120.533;3.501;1
120.571;3.446;1
120.592;3.363;1
120.61;3.289;1
120.628;3.218;1
120.663;3.167;1
120.685;3.096;1
122.055;4.379;1
122.11;4.344;1
122.172;4.311;1
122.225;4.284;1
122.278;3.139;1
122.318;3.092;1
122.356;3.053;1
122.393;2.995;1
122.441;2.954;1
122.479;2.902;1
124.125;4.456;1
124.182;4.424;1
124.222;4.361;1
124.26;4.324;1
124.298;4.257;1
124.335;4.145;1
124.37;3.22;1
