StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-22	08:58:01.875202	1429693081.875202;2015-04-22	08:58:01.875202	1429693081.875202;2015-04-22	08:58:01.877533	1429693081.877533;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:58:01.875202	1429693081.875202;2015-04-22	08:58:01.877881	1429693081.877881;2015-04-22	08:58:02.878679	1429693082.878679;00:00:01;00:00:01;10;986;983.051;986;986;0;0;986;986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;986;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:58:01.875202	1429693081.875202;2015-04-22	08:58:02.878776	1429693082.878776;2015-04-22	08:58:03.881355	1429693083.881355;00:00:01;00:00:02;10;993.014;987.537;995;1981;0;0;1981;1981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;1981;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:58:01.875202	1429693081.875202;2015-04-22	08:58:03.881445	1429693083.881445;2015-04-22	08:58:04.883359	1429693084.883359;00:00:01;00:00:03;10;991.009;988.364;992;2973;0;0;2973;2973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;2973;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:58:01.875202	1429693081.875202;2015-04-22	08:58:04.883470	1429693084.883470;2015-04-22	08:58:05.883587	1429693085.883587;00:00:01;00:00:04;10;984;987.275;984;3957;0;0;3957;3957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;3957;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:58:01.875202	1429693081.875202;2015-04-22	08:58:05.883701	1429693085.883701;2015-04-22	08:58:06.893619	1429693086.893619;00:00:01;00:00:05;10;977.205;985.054;986;4943;0;0;4943;3955;988;988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:04:003000;00:00:04:003000;00:00:00:001000;00:00:00:001000;;4942;0;0;0;0;0;0;0;0;;0;0;0;0;0;988;0;0;
2015-04-22	08:58:01.875202	1429693081.875202;2015-04-22	08:58:06.893787	1429693086.893787;2015-04-22	08:58:07.894458	1429693087.894458;00:00:01;00:00:06;10;1009;988.869;1009;5952;0;0;5952;3960;1004;1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:001000;00:00:04:003000;00:00:04:003000;00:00:00:000000;00:00:00:000000;;5936;2;14;0;0;0;0;0;0;;0;0;0;0;0;1992;0;0;
2015-04-22	08:58:01.875202	1429693081.875202;2015-04-22	08:58:07.894550	1429693087.894550;2015-04-22	08:58:08.896567	1429693088.896567;00:00:01;00:00:07;10;997.006;990.03;999;6951;0;0;6951;3966;993;2985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:04:003000;00:00:04:003000;00:00:00:000000;00:00:00:000000;;6934;2;14;0;0;0;0;0;0;;0;0;0;0;0;2985;0;0;
2015-04-22	08:58:01.875202	1429693081.875202;2015-04-22	08:58:08.896651	1429693088.896651;2015-04-22	08:58:09.897494	1429693089.897494;00:00:01;00:00:08;10;993;990.277;993;7944;0;0;7944;3973;986;3971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:04:003000;00:00:04:003000;00:00:00:000000;00:00:00:000000;;7927;2;14;0;0;0;0;0;0;;0;0;0;0;0;3971;0;0;
2015-04-22	08:58:01.875202	1429693081.875202;2015-04-22	08:58:09.897608	1429693089.897608;2015-04-22	08:58:10.899462	1429693090.899462;00:00:01;00:00:09;10;1000;991.246;1001;8945;0;0;8945;4002;972;4943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:04:003000;00:00:04:003000;00:00:00:001000;00:00:00:000000;;8927;2;14;0;0;0;0;0;0;;0;0;0;0;0;4943;0;0;
