Date_ms;response_time_ms;rtd_no
14.819;1.79;1
15.294;2.002;1
15.356;1.938;1
15.388;1.724;1
15.485;1.716;1
15.52;1.994;1
15.551;1.67;1
15.804;1.428;1
15.84;1.332;1
15.993;0.98;1
16.034;0.854;1
16.189;1.581;1
16.287;0.71;1
16.725;1.024;1
17.226;0.739;1
17.268;0.658;1
19.784;1.378;1
19.815;1.232;1
19.835;1.103;1
23.767;4.866;1
23.832;4.207;1
24.151;5.068;1
24.22;4.514;1
24.287;5.05;1
24.324;4.868;1
25.976;2.737;1
26.039;2.632;1
26.348;2.84;1
26.666;3.018;1
26.765;2.907;1
26.8;2.795;1
27.072;2.502;1
31.265;6.581;1
31.647;6.452;1
31.673;6.356;1
31.814;6.389;1
32.047;6.513;1
32.072;6.426;1
32.094;6.29;1
32.197;6.127;1
32.414;6.235;1
32.456;6.052;1
32.476;5.934;1
32.494;5.668;1
32.511;5.536;1
33.875;2.395;1
33.9;2.326;1
34.201;2.366;1
34.226;2.299;1
34.653;2.434;1
34.957;2.661;1
34.982;1.999;1
34.999;2.307;1
35.052;1.996;1
35.073;2.31;1
35.108;1.926;1
39.481;5.756;1
39.536;5.736;1
39.728;6.232;1
39.755;6.188;1
39.776;6.129;1
39.797;5.864;1
39.817;5.794;1
39.837;5.727;1
40.016;5.773;1
40.45;6.133;1
40.492;6.088;1
40.747;6.271;1
40.792;6.216;1
40.821;6.025;1
40.852;5.983;1
42.343;2.784;1
42.372;2.728;1
43.701;3.661;1
43.74;3.627;1
43.761;3.234;1
43.779;3.127;1
43.798;2.409;1
43.816;2.691;1
43.835;2.615;1
44.162;2.672;1
45.474;3.682;1
45.509;3.614;1
45.529;3.471;1
45.627;3.648;1
45.711;3.581;1
46.003;3.8;1
46.041;3.651;1
46.062;3.786;1
46.089;3.597;1
46.128;2.741;1
46.16;2.572;1
46.361;3.104;1
46.758;3.264;1
46.86;2.86;1
46.885;2.81;1
47.42;2.182;1
47.623;2.245;1
47.649;1.856;1
47.668;1.782;1
47.922;1.458;1
47.947;1.409;1
48.052;1.367;1
48.08;1.299;1
48.417;0.97;1
48.444;0.901;1
48.464;0.699;1
48.482;0.639;1
48.5;0.536;1
48.732;0.477;1
48.792;0.453;1
49.351;2.306;1
49.378;2.156;1
49.397;0.418;1
49.415;0.337;1
49.465;0.294;1
49.52;0.277;1
50.685;0.716;1
50.796;0.755;1
51.025;0.878;1
51.173;0.784;1
51.369;0.906;1
51.539;0.342;1
51.63;0.355;1
53.02;0.621;1
53.132;0.657;1
53.439;0.501;1
53.479;0.433;1
54.631;0.748;1
54.743;0.776;1
54.996;0.958;1
55.022;0.656;1
55.04;0.598;1
55.309;0.486;1
55.367;0.45;1
57.005;0.862;1
57.047;0.771;1
57.091;0.563;1
57.142;0.784;1
57.166;0.545;1
57.791;0.607;1
57.832;0.558;1
59.453;0.66;1
59.501;0.79;1
59.522;0.652;1
59.564;0.615;1
59.584;0.364;1
59.718;0.385;1
61.563;0.723;1
61.592;0.586;1
61.688;0.555;1
61.735;0.523;1
62.011;0.625;1
62.039;0.561;1
62.314;0.467;1
62.355;0.427;1
63.586;0.675;1
63.615;0.628;1
63.92;0.505;1
63.959;0.458;1
65.542;0.469;1
65.77;0.569;1
65.901;0.542;1
65.927;0.488;1
66.287;0.719;1
66.35;0.668;1
66.39;0.574;1
67.945;0.845;1
68.013;0.74;1
68.049;0.642;1
68.077;0.419;1
68.259;0.461;1
70.526;1.292;1
70.596;1.247;1
70.63;1.112;1
70.659;1.03;1
70.712;0.775;1
70.769;0.693;1
71.07;0.733;1
71.173;0.739;1
71.361;0.56;1
71.401;0.455;1
72.572;0.509;1
73.047;0.872;1
73.642;1.349;1
73.707;1.302;1
74.032;0.879;1
74.072;0.804;1
74.101;0.717;1
74.129;0.624;1
74.207;0.471;1
74.244;0.362;1
76.722;1.203;1
76.791;1.029;1
76.826;0.882;1
76.854;0.799;1
76.882;0.574;1
76.94;0.476;1
76.969;0.39;1
79.097;1.149;1
79.228;1.168;1
79.263;0.89;1
79.6;1.11;1
79.639;0.823;1
79.669;0.704;1
80.076;0.734;1
80.528;1.052;1
80.906;0.73;1
81.247;0.958;1
81.329;0.923;1
81.39;0.614;1
81.567;0.602;1
81.955;0.846;1
82.225;0.509;1
82.423;0.589;1
83.346;0.826;1
83.388;0.756;1
83.556;0.518;1
83.751;0.542;1
84.345;0.56;1
84.387;0.484;1
85.36;0.751;1
85.402;0.673;1
85.432;0.368;1
85.552;0.357;1
86.315;0.544;1
86.356;0.472;1
87.624;0.677;1
87.857;0.797;1
88.135;0.791;1
88.172;0.715;1
88.423;0.53;1
88.463;0.444;1
90.118;0.899;1
90.425;1.088;1
90.463;1.015;1
90.492;0.817;1
90.52;0.683;1
90.641;0.486;1
90.739;0.438;1
91.713;0.834;1
91.992;0.999;1
92.559;0.806;1
92.624;0.753;1
92.658;0.51;1
92.687;0.417;1
92.769;0.387;1
95.166;0.989;1
95.635;1.345;1
95.673;1.257;1
95.703;0.801;1
95.731;0.717;1
95.814;0.58;1
96.36;0.961;1
96.703;1.189;1
96.996;1.014;1
97.396;1.221;1
97.435;0.92;1
97.493;0.754;1
97.55;0.519;1
97.58;0.426;1
97.632;0.367;1
99.857;1.223;1
99.9;1.102;1
99.961;0.86;1
