StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:13.717439	1429692613.717439;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:13.717812	1429692613.717812;2015-04-22	08:50:14.719295	1429692614.719295;00:00:01;00:00:01;10;5820.18;5802.79;5826;5826;0;0;5826;5826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;84;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;4561;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:14.719375	1429692614.719375;2015-04-22	08:50:15.721326	1429692615.721326;00:00:01;00:00:02;10;6052.95;5924.73;6059;11885;0;0;11885;11885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;594;678;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:003000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;8956;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:15.721403	1429692615.721403;2015-04-22	08:50:16.723280	1429692616.723280;00:00:01;00:00:03;10;6041.96;5961.77;6048;17933;0;0;17933;17923;0;0;10;10;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1764;2442;0;0;13;13;0;0;0;0;0;0;00:00:00:011000;00:00:00:006000;00:00:00:056000;00:00:00:031000;00:00:00:501000;00:00:00:501000;00:00:00:000000;00:00:00:000000;;12781;168;16;0;0;0;0;0;53;;0;0;0;0;10;0;0;0;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:16.723343	1429692616.723343;2015-04-22	08:50:17.725335	1429692617.725335;00:00:01;00:00:04;10;6484.52;6090.77;6491;24424;0;0;24424;24411;0;0;3;13;0;0;0;0;0;0;0;0;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;2346;4788;0;0;8;21;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:023000;00:00:00:030000;00:00:00:501000;00:00:00:501000;00:00:00:000000;00:00:00:000000;;16250;632;16;0;0;0;0;0;61;;0;0;0;0;13;0;0;0;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:17.725404	1429692617.725404;2015-04-22	08:50:18.819347	1429692618.819347;00:00:01;00:00:05;10;6503.2;6177.9;7108;31532;0;0;31532;26807;4677;4677;35;48;0;0;0;0;0;0;0;0;35;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;26;3551;8339;0;0;53;74;0;0;0;0;0;0;00:00:00:017000;00:00:00:008000;00:00:00:086000;00:00:00:045000;00:00:04:015000;00:00:04:006000;00:00:00:329000;00:00:00:376000;;19881;632;33;0;0;0;0;0;158;;0;0;0;0;48;4677;0;0;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:18.819592	1429692618.819592;2015-04-22	08:50:19.821459	1429692619.821459;00:00:01;00:00:06;10;7894.11;6458.24;7902;39434;0;0;39434;30314;4394;9071;1;49;0;0;0;0;0;0;0;0;1;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;41;4936;13275;0;0;16;90;0;0;0;0;0;0;00:00:00:005000;00:00:00:007000;00:00:00:027000;00:00:00:043000;00:00:04:182000;00:00:04:090000;00:00:00:281000;00:00:00:345000;;24349;640;33;0;0;0;11;0;171;;0;0;0;0;49;9012;59;0;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:19.821580	1429692619.821580;2015-04-22	08:50:20.823370	1429692620.823370;00:00:01;00:00:07;10;7790.21;6644.91;7798;47232;0;0;47232;34164;3947;13018;1;50;0;0;0;0;0;0;0;0;1;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;47;4799;18074;0;0;7;97;0;0;0;0;0;0;00:00:00:006000;00:00:00:007000;00:00:00:038000;00:00:00:042000;00:00:04:334000;00:00:04:164000;00:00:00:471000;00:00:00:403000;;28808;660;33;0;0;0;11;0;198;;0;0;0;0;50;12534;484;0;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:20.823458	1429692620.823458;2015-04-22	08:50:21.825313	1429692621.825313;00:00:01;00:00:08;10;5830.17;6543.53;5836;53068;0;0;53068;35613;4379;17397;8;58;0;0;0;0;0;0;0;0;8;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;82;5850;23924;0;0;43;140;0;0;0;0;0;0;00:00:00:009000;00:00:00:007000;00:00:00:049000;00:00:00:043000;00:00:04:432000;00:00:04:232000;00:00:00:627000;00:00:00:484000;;32452;711;33;0;0;3;11;0;234;;0;0;0;0;58;16135;1262;0;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:21.825398	1429692621.825398;2015-04-22	08:50:22.826332	1429692622.826332;00:00:01;00:00:09;10;5859;6467.68;5859;58927;0;0;58927;36871;4588;21985;13;71;0;0;0;0;0;0;0;0;13;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;87;5991;29915;0;0;18;158;0;0;0;0;0;0;00:00:00:013000;00:00:00:008000;00:00:00:067000;00:00:00:046000;00:00:04:472000;00:00:04:282000;00:00:00:811000;00:00:00:576000;;35807;827;41;6;0;3;11;0;290;;0;0;0;6;65;19805;2180;0;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:22.826393	1429692622.826393;2015-04-22	08:50:23.827402	1429692623.827402;00:00:01;00:00:10;10;5868.13;6408.33;5874;64801;0;0;64801;37652;5091;27076;2;73;0;0;0;0;0;0;0;0;2;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;97;6308;36223;0;0;12;170;0;0;0;0;0;0;00:00:00:012000;00:00:00:008000;00:00:00:074000;00:00:00:049000;00:00:04:580000;00:00:04:338000;00:00:00:946000;00:00:00:672000;;39591;884;41;6;0;3;11;0;343;;0;0;0;7;66;23818;3258;0;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:23.827469	1429692623.827469;2015-04-22	08:50:24.828377	1429692624.828377;00:00:01;00:00:11;10;7332;6490.87;7332;72133;0;0;72133;39941;5029;32105;14;87;0;0;0;0;0;0;0;0;14;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;117;6411;42634;0;0;34;204;0;0;0;0;0;0;00:00:00:011000;00:00:00:009000;00:00:00:084000;00:00:00:052000;00:00:04:644000;00:00:04:386000;00:00:01:039000;00:00:00:750000;;42677;892;53;6;0;3;11;0;369;;0;0;0;7;79;27697;4409;0;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:24.828441	1429692624.828441;2015-04-22	08:50:25.829453	1429692625.829453;00:00:01;00:00:12;10;7414.59;6567.19;7422;79555;0;0;79555;43987;3367;35472;9;96;0;0;0;0;0;0;0;0;9;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;151;8023;50657;0;0;43;247;0;0;0;0;0;0;00:00:00:013000;00:00:00:009000;00:00:00:105000;00:00:00:057000;00:00:04:865000;00:00:04:431000;00:00:01:234000;00:00:00:820000;;45797;894;53;6;0;3;11;0;414;;0;0;0;7;87;29981;5460;33;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:25.829520	1429692625.829520;2015-04-22	08:50:26.831374	1429692626.831374;00:00:01;00:00:13;10;7070.93;6605.14;7078;86633;0;0;86633;47383;3681;39153;1;97;0;0;0;0;0;0;0;0;1;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;160;8427;59084;0;0;10;257;0;0;0;0;0;0;00:00:00:008000;00:00:00:009000;00:00:00:052000;00:00:00:057000;00:00:04:860000;00:00:04:471000;00:00:01:389000;00:00:00:898000;;49183;896;53;12;9;3;11;0;435;;0;0;0;7;88;32589;6446;120;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:26.831475	1429692626.831475;2015-04-22	08:50:27.833447	1429692627.833447;00:00:01;00:00:14;10;6995;6632.31;7002;93635;0;0;93635;50782;3595;42748;8;105;0;0;0;0;0;0;0;0;8;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;190;8597;67681;0;0;38;295;0;0;0;0;0;0;00:00:00:005000;00:00:00:009000;00:00:00:029000;00:00:00:056000;00:00:04:983000;00:00:04:514000;00:00:01:500000;00:00:00:973000;;52844;901;53;12;9;3;11;0;448;;0;0;0;7;96;34971;7561;218;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:27.833511	1429692627.833511;2015-04-22	08:50:28.835266	1429692628.835266;00:00:01;00:00:15;10;6572.43;6627.91;6579;100214;0;0;100214;51651;5710;48458;0;105;0;0;0;0;0;0;0;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;219;9340;77021;0;0;29;324;0;0;0;0;0;0;00:00:00:008000;00:00:00:008000;00:00:00:041000;00:00:00:055000;00:00:05:040000;00:00:04:576000;00:00:01:681000;00:00:01:094000;;55828;957;79;12;9;3;11;0;469;;0;0;0;7;96;38821;9207;432;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:28.835344	1429692628.835344;2015-04-22	08:50:29.836336	1429692629.836336;00:00:01;00:00:16;10;7237;6665.28;7237;107451;0;0;107451;53308;5580;54038;0;105;0;0;0;0;0;0;0;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;262;8760;85781;0;0;43;367;0;0;0;0;0;0;00:00:00:004000;00:00:00:008000;00:00:00:018000;00:00:00:053000;00:00:04:889000;00:00:04:608000;00:00:01:690000;00:00:01:174000;;60791;977;89;12;9;3;11;0;476;;0;0;0;7;96;43007;10387;646;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:29.836407	1429692629.836407;2015-04-22	08:50:30.837600	1429692630.837600;00:00:01;00:00:17;10;6584.42;6660.55;6591;114042;0;0;114042;54700;5188;59226;11;116;0;0;0;0;0;0;0;0;11;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;273;8689;94470;0;0;22;389;0;0;0;0;0;0;00:00:00:007000;00:00:00:008000;00:00:00:040000;00:00:00:052000;00:00:04:871000;00:00:04:631000;00:00:01:850000;00:00:01:250000;;64016;1005;89;12;9;17;11;0;497;;0;0;0;7;107;47043;11339;846;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:30.837674	1429692630.837674;2015-04-22	08:50:31.838610	1429692631.838610;00:00:01;00:00:18;10;5535;6598.08;5535;119577;0;0;119577;54644;5585;64811;6;122;0;0;0;0;0;0;0;0;6;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;311;10070;104540;0;0;44;433;0;0;0;0;0;0;00:00:00:009000;00:00:00:008000;00:00:00:047000;00:00:00:052000;00:00:05:053000;00:00:04:668000;00:00:02:193000;00:00:01:362000;;67534;1023;89;30;9;17;11;0;530;;0;0;0;8;112;51300;12286;1227;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:31.838673	1429692631.838673;2015-04-22	08:50:32.840573	1429692632.840573;00:00:01;00:00:19;10;5593.41;6545.15;5599;125176;0;0;125176;55409;4830;69641;4;126;0;0;0;0;0;0;0;0;4;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;344;9616;114156;0;0;37;470;0;0;0;0;0;0;00:00:00:005000;00:00:00:008000;00:00:00:021000;00:00:00:051000;00:00:05:321000;00:00:04:713000;00:00:02:601000;00:00:01:491000;;71492;1023;89;30;9;17;11;0;537;;0;0;0;8;116;54855;13069;1719;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:32.840633	1429692632.840633;2015-04-22	08:50:33.842465	1429692633.842465;00:00:01;00:00:20;10;5566.43;6496.15;5572;130748;0;0;130748;55509;5472;75113;0;126;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;394;9103;123259;0;0;50;520;0;0;0;0;0;0;00:00:00:007000;00:00:00:008000;00:00:00:041000;00:00:00:050000;00:00:05:004000;00:00:04:734000;00:00:02:170000;00:00:01:552000;;75156;1042;108;30;9;17;11;0;562;;0;0;0;8;116;59098;13959;2058;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:33.842519	1429692633.842519;2015-04-22	08:50:34.843597	1429692634.843597;00:00:01;00:00:21;10;5175.82;6433.59;5181;135929;0;0;135929;55392;5298;80411;0;126;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;413;9373;132632;0;0;19;539;0;0;0;0;0;0;00:00:00:008000;00:00:00:008000;00:00:00:048000;00:00:00:050000;00:00:05:166000;00:00:04:763000;00:00:02:645000;00:00:01:650000;;78860;1054;109;30;17;17;11;0;597;;0;0;0;8;116;63141;14841;2431;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:34.843675	1429692634.843675;2015-04-22	08:50:35.845436	1429692635.845436;00:00:01;00:00:22;10;5424.58;6387.66;5430;141359;0;0;141359;56810;3999;84410;13;139;0;0;0;0;0;0;0;0;13;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;441;9938;142570;0;0;41;580;0;0;0;0;0;0;00:00:00:009000;00:00:00:008000;00:00:00:050000;00:00:00:050000;00:00:05:583000;00:00:04:802000;00:00:03:077000;00:00:01:753000;;82801;1126;109;30;17;17;11;0;639;;0;0;0;8;129;65858;15735;2819;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:35.845538	1429692635.845538;2015-04-22	08:50:36.847411	1429692636.847411;00:00:01;00:00:23;10;6284.72;6382.93;6291;147650;0;0;147650;59044;4056;88466;1;140;0;0;0;0;0;0;0;0;1;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;468;9871;152441;0;0;28;608;0;0;0;0;0;0;00:00:00:005000;00:00:00:008000;00:00:00:027000;00:00:00:050000;00:00:05:474000;00:00:04:832000;00:00:02:976000;00:00:01:832000;;86183;1127;109;30;17;20;11;0;649;;0;0;0;8;130;68704;16625;3139;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:36.847468	1429692636.847468;2015-04-22	08:50:37.849347	1429692637.849347;00:00:01;00:00:24;10;6888.11;6403.62;6895;154545;0;0;154545;61694;4223;92689;22;162;0;0;0;0;0;0;0;0;22;162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;512;10964;163405;0;0;66;674;0;0;0;0;0;0;00:00:00:010000;00:00:00:008000;00:00:00:056000;00:00:00:050000;00:00:05:481000;00:00:04:862000;00:00:02:909000;00:00:01:900000;;89568;1151;109;30;17;20;11;0;693;;0;0;0;9;151;71488;17752;3451;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:37.849404	1429692637.849404;2015-04-22	08:50:38.851690	1429692638.851690;00:00:01;00:00:25;10;6505.99;6407.7;6519;161064;0;0;161064;64174;4023;96712;16;178;0;0;0;0;0;0;0;0;16;178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;555;11881;175286;0;0;59;733;0;0;0;0;0;0;00:00:00:007000;00:00:00:008000;00:00:00:040000;00:00:00:050000;00:00:05:631000;00:00:04:894000;00:00:03:225000;00:00:01:979000;;92631;1173;109;30;17;23;11;0;713;;0;0;0;9;166;74009;18873;3833;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:38.851752	1429692638.851752;2015-04-22	08:50:39.852555	1429692639.852555;00:00:01;00:00:26;10;6796;6422.31;6796;167860;0;0;167860;66699;4255;100967;16;194;0;0;0;0;0;0;0;0;16;194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;645;13083;188369;0;0;106;839;0;0;0;0;0;0;00:00:00:010000;00:00:00:008000;00:00:00:052000;00:00:00:050000;00:00:05:423000;00:00:04:916000;00:00:03:022000;00:00:02:036000;;95846;1190;110;30;17;23;11;0;749;;0;0;0;9;182;76954;19915;4101;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:39.852622	1429692639.852622;2015-04-22	08:50:40.854482	1429692640.854482;00:00:01;00:00:27;10;5810.19;6399.5;5816;173676;0;0;173676;66838;5658;106625;19;213;0;0;0;0;0;0;0;0;19;213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;724;13852;202221;0;0;98;937;0;0;0;0;0;0;00:00:00:014000;00:00:00:008000;00:00:00:081000;00:00:00:051000;00:00:05:222000;00:00:04:933000;00:00:02:754000;00:00:02:082000;;99060;1222;110;30;17;23;11;0;806;;0;0;0;9;201;81047;21174;4407;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:40.854537	1429692640.854537;2015-04-22	08:50:41.856472	1429692641.856472;00:00:01;00:00:28;10;5274.73;6359.26;5280;178956;0;0;178956;66596;5519;112144;3;216;0;0;0;0;0;0;0;0;3;216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;790;12889;215110;0;0;69;1006;0;0;0;0;0;0;00:00:00:007000;00:00:00:008000;00:00:00:035000;00:00:00:051000;00:00:05:268000;00:00:04:949000;00:00:02:631000;00:00:02:113000;;102771;1225;110;30;17;23;11;0;825;;0;0;0;9;204;84907;22528;4712;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:41.856530	1429692641.856530;2015-04-22	08:50:42.858474	1429692642.858474;00:00:01;00:00:29;10;6038.96;6348.04;6045;185001;0;0;185001;67936;4698;116842;7;223;0;0;0;0;0;0;0;0;7;223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;808;12472;227582;0;0;25;1031;0;0;0;0;0;0;00:00:00:007000;00:00:00:008000;00:00:00:038000;00:00:00:050000;00:00:05:131000;00:00:04:956000;00:00:02:765000;00:00:02:144000;;105995;1291;110;30;17;37;11;0;845;;0;0;0;9;211;88503;23359;4983;
2015-04-22	08:50:13.715048	1429692613.715048;2015-04-22	08:50:42.858556	1429692642.858556;2015-04-22	08:50:43.859529	1429692643.859529;00:00:01;00:00:30;10;6477;6352.11;6477;191478;0;0;191478;69229;5163;122005;21;244;0;0;0;0;0;0;0;0;21;244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;878;14047;241629;0;0;91;1122;0;0;0;0;0;0;00:00:00:009000;00:00:00:008000;00:00:00:048000;00:00:00:050000;00:00:05:682000;00:00:04:987000;00:00:03:936000;00:00:02:254000;;108922;1444;110;30;17;37;11;0;874;;0;0;0;9;232;92344;24123;5541;
