StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-22	08:29:08.299708	1429691348.299708;2015-04-22	08:29:08.299708	1429691348.299708;2015-04-22	08:29:08.302038	1429691348.302038;00:00:00;00:00:00;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:29:08.299708	1429691348.299708;2015-04-22	08:29:08.302362	1429691348.302362;2015-04-22	08:29:09.302864	1429691349.302864;00:00:01;00:00:01;1000;996;993.021;0;0;996;996;996;6;989;989;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:003000;00:00:00:003000;00:00:00:001000;00:00:00:001000;;994;0;0;0;0;0;0;0;0;;987;3;0;0;0;0;0;0;
2015-04-22	08:29:08.299708	1429691348.299708;2015-04-22	08:29:09.302953	1429691349.302953;2015-04-22	08:29:10.304359	1429691350.304359;00:00:01;00:00:02;1000;994.006;993.513;0;0;995;1991;1991;4;997;1986;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:004000;00:00:00:003000;00:00:00:000000;00:00:00:001000;;1991;0;0;0;0;0;0;0;0;;1984;3;0;0;0;0;0;0;
2015-04-22	08:29:08.299708	1429691348.299708;2015-04-22	08:29:10.304445	1429691350.304445;2015-04-22	08:29:11.305870	1429691351.305870;00:00:01;00:00:03;1000;997.003;994.345;0;0;998;2989;2989;2;1000;2986;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:002000;00:00:00:001000;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:001000;;2969;12;6;0;0;0;0;0;0;;2959;28;0;0;0;0;0;0;
2015-04-22	08:29:08.299708	1429691348.299708;2015-04-22	08:29:11.305987	1429691351.305987;2015-04-22	08:29:12.307014	1429691352.307014;00:00:01;00:00:04;1000;997.003;995.009;0;0;998;3987;3987;6;994;3980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:001000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;3966;12;6;0;0;0;0;0;0;;3949;32;0;0;0;0;0;0;
2015-04-22	08:29:08.299708	1429691348.299708;2015-04-22	08:29:12.307113	1429691352.307113;2015-04-22	08:29:13.317411	1429691353.317411;00:00:01;00:00:05;1000;994.059;994.818;0;0;1004;4991;4991;21;989;4969;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:001000;00:00:00:001000;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:001000;;4944;22;6;0;0;0;0;0;0;;4918;52;0;0;0;0;0;0;
2015-04-22	08:29:08.299708	1429691348.299708;2015-04-22	08:29:13.317498	1429691353.317498;2015-04-22	08:29:14.318707	1429691354.318707;00:00:01;00:00:06;1000;995.005;994.849;0;0;996;5987;5987;4;1013;5982;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:001000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;5956;23;6;0;0;0;0;0;0;;5928;55;0;0;0;0;0;0;
2015-04-22	08:29:08.299708	1429691348.299708;2015-04-22	08:29:14.318851	1429691354.318851;2015-04-22	08:29:15.318976	1429691355.318976;00:00:01;00:00:07;1000;997;995.014;0;0;997;6984;6984;6;995;6977;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:001000;00:00:00:003000;00:00:00:004000;00:00:00:000000;00:00:00:001000;;6952;23;6;0;0;0;0;0;0;;6923;55;0;0;0;0;0;0;
2015-04-22	08:29:08.299708	1429691348.299708;2015-04-22	08:29:15.319064	1429691355.319064;2015-04-22	08:29:16.321953	1429691356.321953;00:00:01;00:00:08;1000;995.01;994.889;0;0;997;7981;7981;2;1001;7978;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:001000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;7952;23;6;0;0;0;0;0;0;;7924;55;0;0;0;0;0;0;
2015-04-22	08:29:08.299708	1429691348.299708;2015-04-22	08:29:16.322045	1429691356.322045;2015-04-22	08:29:17.323117	1429691357.323117;00:00:01;00:00:09;1000;998.002;995.234;0;0;999;8980;8980;5;996;8974;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:003000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;8949;23;6;0;0;0;0;0;0;;8920;55;0;0;0;0;0;0;
