StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-22	08:36:56.028658	1429691816.028658;2015-04-22	08:36:56.028658	1429691816.028658;2015-04-22	08:36:56.031369	1429691816.031369;00:00:00;00:00:00;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:36:56.028658	1429691816.028658;2015-04-22	08:36:56.031814	1429691816.031814;2015-04-22	08:36:57.031969	1429691817.031969;00:00:01;00:00:01;1000;991;988.036;0;0;991;991;991;3;987;987;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;989;0;0;0;0;0;0;0;0;;988;0;0;0;0;0;0;0;
2015-04-22	08:36:56.028658	1429691816.028658;2015-04-22	08:36:57.032075	1429691817.032075;2015-04-22	08:36:58.034107	1429691818.034107;00:00:01;00:00:02;1000;998.004;993.017;0;0;1000;1991;1991;7;996;1983;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;1987;0;0;0;0;0;0;0;0;;1984;0;0;0;0;0;0;0;
2015-04-22	08:36:56.028658	1429691816.028658;2015-04-22	08:36:58.034176	1429691818.034176;2015-04-22	08:36:59.035356	1429691819.035356;00:00:01;00:00:03;1000;995.005;993.679;0;0;996;2987;2987;5;998;2981;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;14;0;0;0;2;0;0;0;0;0;0;00:00:00:006000;00:00:00:002000;00:00:00:047000;00:00:00:027000;00:00:00:014000;00:00:00:007000;00:00:00:070000;00:00:00:040000;;2958;5;13;0;0;0;0;0;9;;2945;18;0;0;19;0;0;0;
2015-04-22	08:36:56.028658	1429691816.028658;2015-04-22	08:36:59.035485	1429691819.035485;2015-04-22	08:37:00.036748	1429691820.036748;00:00:01;00:00:04;1000;997.003;994.261;0;0;998;3985;3985;4;999;3980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;14;0;0;5;7;0;0;0;0;0;0;00:00:00:000000;00:00:00:002000;00:00:00:000000;00:00:00:023000;00:00:00:003000;00:00:00:006000;00:00:00:000000;00:00:00:035000;;3958;5;13;0;0;0;0;0;9;;3944;18;0;0;19;0;0;0;
2015-04-22	08:36:56.028658	1429691816.028658;2015-04-22	08:37:00.036839	1429691820.036839;2015-04-22	08:37:01.038603	1429691821.038603;00:00:01;00:00:05;1000;998.002;995.009;0;0;999;4984;4984;23;980;4960;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;22;0;0;0;7;0;0;0;0;0;0;00:00:00:003000;00:00:00:002000;00:00:00:032000;00:00:00:025000;00:00:00:009000;00:00:00:007000;00:00:00:045000;00:00:00:037000;;4925;15;15;0;0;0;0;0;13;;4857;77;0;0;27;0;0;0;
2015-04-22	08:36:56.028658	1429691816.028658;2015-04-22	08:37:01.038695	1429691821.038695;2015-04-22	08:37:02.040022	1429691822.040022;00:00:01;00:00:06;1000;994.006;994.676;0;0;995;5979;5979;2;1016;5976;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;11;6;28;0;0;5;12;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:027000;00:00:00:026000;00:00:00:007000;00:00:00:007000;00:00:00:041000;00:00:00:038000;;5920;27;15;0;0;0;0;0;16;;5840;103;0;0;34;0;0;0;
2015-04-22	08:36:56.028658	1429691816.028658;2015-04-22	08:37:02.040128	1429691822.040128;2015-04-22	08:37:03.042041	1429691823.042041;00:00:01;00:00:07;1000;994.006;994.439;0;0;995;6974;6974;2;995;6971;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;0;28;0;0;1;13;0;0;0;0;0;0;00:00:00:001000;00:00:00:002000;00:00:00:000000;00:00:00:024000;00:00:00:004000;00:00:00:006000;00:00:00:000000;00:00:00:035000;;6916;27;15;0;0;0;0;0;16;;6835;103;0;0;34;0;0;0;
2015-04-22	08:36:56.028658	1429691816.028658;2015-04-22	08:37:03.042117	1429691823.042117;2015-04-22	08:37:04.044085	1429691824.044085;00:00:01;00:00:08;1000;998.002;994.76;0;0;999;7973;7973;2;999;7970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;28;0;0;0;13;0;0;0;0;0;0;00:00:00:000000;00:00:00:002000;00:00:00:000000;00:00:00:022000;00:00:00:003000;00:00:00:006000;00:00:00:000000;00:00:00:033000;;7914;27;15;0;0;0;0;0;16;;7834;103;0;0;34;0;0;0;
2015-04-22	08:36:56.028658	1429691816.028658;2015-04-22	08:37:04.044177	1429691824.044177;2015-04-22	08:37:05.045899	1429691825.045899;00:00:01;00:00:09;1000;996.004;994.788;0;0;997;8970;8970;4;995;8965;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;28;0;0;1;14;0;0;0;0;0;0;00:00:00:001000;00:00:00:002000;00:00:00:000000;00:00:00:021000;00:00:00:004000;00:00:00:006000;00:00:00:001000;00:00:00:031000;;8912;27;15;0;0;0;0;0;16;;8817;115;0;0;34;0;0;0;
