Date_ms;response_time_ms;rtd_no
6.7;4.779;1
7.003;5.075;1
7.095;5.16;1
7.156;3.818;1
7.248;3.907;1
7.373;4.026;1
7.499;4.149;1
7.925;4.569;1
8.003;4.642;1
8.827;2.171;1
9.035;2.374;1
9.125;2.462;1
9.21;2.543;1
9.655;2.986;1
9.754;3.082;1
9.84;3.166;1
9.987;3.309;1
10.503;3.824;1
11.404;3.355;1
11.818;3.762;1
11.91;3.852;1
11.995;3.932;1
12.372;4.307;1
12.457;4.388;1
13.797;3.728;1
13.889;3.817;1
13.988;3.914;1
14.395;4.314;1
14.507;4.424;1
14.786;4.698;1
15.436;3.369;1
15.528;3.458;1
15.821;3.748;1
16.546;4.47;1
16.646;4.568;1
16.743;4.663;1
17.357;3.233;1
17.524;3.395;1
17.593;3.46;1
18.02;3.884;1
18.327;4.186;1
18.396;4.253;1
19.405;3.24;1
19.563;3.389;1
19.896;3.719;1
19.968;3.788;1
21.013;4.831;1
21.15;4.965;1
22.333;4.26;1
22.407;4.33;1
22.899;4.82;1
22.972;4.891;1
23.037;4.953;1
23.109;5.023;1
23.984;3.947;1
24.286;4.246;1
24.581;4.539;1
24.948;4.903;1
25.021;4.974;1
25.088;5.038;1
25.533;3.491;1
25.726;3.687;1
25.96;3.915;1
26.297;4.25;1
26.37;4.321;1
26.791;4.739;1
27.524;3.484;1
27.775;3.732;1
27.847;3.802;1
27.914;3.866;1
28.392;4.342;1
28.462;4.409;1
29.865;3.829;1
29.944;3.905;1
30.233;4.191;1
30.568;4.523;1
30.644;4.596;1
30.816;4.76;1
31.686;3.567;1
31.824;3.702;1
32.035;3.91;1
32.285;4.158;1
32.355;4.225;1
32.42;4.288;1
33.179;3.128;1
33.252;3.198;1
33.431;3.375;1
33.568;3.509;1
33.756;3.695;1
33.939;3.876;1
34.917;2.833;1
35.009;2.922;1
35.306;3.217;1
35.378;3.287;1
35.443;3.35;1
35.508;3.412;1
36.909;2.595;1
37.07;2.753;1
37.218;2.899;1
37.293;2.972;1
37.555;3.231;1
37.629;3.303;1
38.74;2.661;1
38.979;2.897;1
39.057;2.972;1
39.124;3.036;1
39.19;3.1;1
39.48;3.387;1
40.537;2.498;1
40.611;2.569;1
40.668;2.623;1
40.723;2.676;1
41.044;2.995;1
41.117;3.066;1
41.983;1.879;1
42.242;2.135;1
42.442;2.332;1
42.518;2.406;1
42.91;2.796;1
42.983;2.866;1
43.634;1.597;1
43.853;1.813;1
43.93;1.888;1
44.183;2.138;1
45.028;2.981;1
45.101;3.051;1
45.781;1.519;1
45.931;1.666;1
47.372;3.105;1
47.722;3.452;1
47.783;3.511;1
47.839;3.565;1
49.222;1.771;1
49.296;1.842;1
49.392;1.935;1
49.462;2.003;1
49.542;2.081;1
49.743;2.279;1
49.823;2.357;1
50.002;2.533;1
50.071;2.6;1
50.582;1.537;1
50.675;1.628;1
50.899;1.849;1
51.108;2.055;1
51.452;2.397;1
51.746;2.688;1
53.276;2.112;1
53.369;2.202;1
53.634;2.465;1
53.768;2.596;1
53.933;2.759;1
54.002;2.821;1
54.442;1.366;1
54.649;1.57;1
54.853;1.772;1
54.922;1.839;1
55.102;2.016;1
55.6;2.512;1
56.829;1.674;1
56.981;1.823;1
57.205;2.044;1
57.494;2.331;1
57.824;2.659;1
57.897;2.729;1
58.35;1.3;1
58.495;1.442;1
58.654;1.599;1
58.819;1.762;1
58.91;1.851;1
59.433;2.372;1
60.753;1.648;1
60.881;1.773;1
61.003;1.893;1
61.274;2.162;1
61.352;2.237;1
61.613;2.496;1
62.228;1.174;1
62.386;1.329;1
62.546;1.487;1
62.686;1.624;1
62.759;1.695;1
62.948;1.882;1
65.746;1.625;1
65.946;1.822;1
66.168;2.041;1
66.47;2.34;1
66.546;2.414;1
66.772;2.638;1
66.848;2.711;1
66.911;2.772;1
67.126;2.984;1
67.63;1.612;1
67.707;1.686;1
67.866;1.843;1
68.113;2.089;1
68.424;2.397;1
68.763;2.734;1
69.835;1.67;1
70.03;1.861;1
70.451;2.28;1
70.526;2.353;1
70.584;2.408;1
70.748;2.57;1
71.384;1.289;1
71.562;1.464;1
71.711;1.611;1
71.829;1.727;1
71.978;1.874;1
72.517;2.41;1
73.611;1.564;1
73.822;1.772;1
74.02;1.968;1
74.245;2.191;1
74.407;2.35;1
74.497;2.438;1
75.377;1.293;1
75.514;1.427;1
75.669;1.58;1
75.805;1.714;1
75.978;1.884;1
76.476;2.38;1
77.474;1.432;1
77.587;1.542;1
77.738;1.691;1
77.93;1.88;1
78.263;2.211;1
78.444;2.39;1
79.452;1.374;1
79.527;1.446;1
79.698;1.615;1
79.892;1.806;1
80.013;1.925;1
80.406;2.316;1
81.404;1.339;1
81.575;1.507;1
81.645;1.575;1
81.795;1.722;1
81.949;1.874;1
82.402;2.325;1
83.526;1.33;1
83.681;1.482;1
83.818;1.617;1
83.981;1.778;1
84.277;2.072;1
84.344;2.136;1
85.208;1.175;1
85.281;1.245;1
85.515;1.477;1
85.617;1.576;1
85.796;1.753;1
86.044;1.998;1
87.62;1.506;1
87.696;1.579;1
87.924;1.805;1
87.997;1.876;1
88.217;2.093;1
88.363;2.236;1
89.41;1.355;1
89.484;1.426;1
89.602;1.541;1
89.674;1.611;1
89.878;1.813;1
89.955;1.887;1
93.109;1.844;1
93.308;2.04;1
93.397;2.127;1
93.668;2.395;1
93.741;2.466;1
93.917;2.639;1
94.191;2.91;1
94.274;2.991;1
94.489;3.203;1
94.566;1.399;1
94.702;1.532;1
94.795;1.623;1
94.954;1.78;1
95.344;2.168;1
95.414;2.236;1
97.018;1.99;1
97.274;2.242;1
97.424;2.389;1
97.785;2.748;1
97.857;2.817;1
97.923;2.881;1
98.387;1.313;1
98.484;1.407;1
98.73;1.651;1
98.921;1.839;1
98.994;1.911;1
99.3;2.214;1
100.721;1.661;1
100.904;1.841;1
100.977;1.912;1
101.211;2.143;1
101.541;2.471;1
101.615;2.543;1
102.395;1.354;1
102.49;1.446;1
102.626;1.58;1
102.881;1.833;1
102.951;1.901;1
103.319;2.266;1
104.616;1.51;1
104.767;1.658;1
104.844;1.733;1
104.985;1.872;1
105.217;2.102;1
105.508;2.391;1
106.294;1.261;1
106.369;1.334;1
106.533;1.495;1
106.611;1.571;1
106.853;1.811;1
106.927;1.883;1
109.773;1.678;1
109.849;1.751;1
110.005;1.904;1
110.251;2.148;1
110.319;2.214;1
110.614;2.506;1
110.868;2.758;1
110.942;2.825;1
111.008;2.889;1
111.596;1.537;1
111.665;1.604;1
111.731;1.667;1
111.973;1.907;1
112.388;2.32;1
112.459;2.388;1
113.68;1.63;1
113.876;1.823;1
114.062;2.007;1
114.312;2.254;1
114.376;2.316;1
114.525;2.463;1
115.474;1.338;1
115.598;1.459;1
115.769;1.628;1
115.949;1.805;1
116.249;2.103;1
116.532;2.384;1
117.644;1.601;1
117.81;1.764;1
117.941;1.893;1
118.409;2.359;1
118.502;2.449;1
118.57;2.515;1
119.557;1.351;1
119.763;1.554;1
119.861;1.65;1
120.05;1.836;1
120.32;2.104;1
120.674;2.455;1
121.644;1.537;1
121.721;1.608;1
121.789;1.673;1
121.962;1.844;1
122.473;2.353;1
122.554;2.431;1
123.486;1.446;1
123.681;1.638;1
123.869;1.824;1
123.946;1.899;1
124.498;2.449;1
124.581;2.53;1
125.531;1.506;1
125.719;1.691;1
125.839;1.809;1
126.081;2.049;1
126.327;2.292;1
126.675;2.638;1
127.536;1.402;1
127.694;1.558;1
127.772;1.634;1
127.909;1.768;1
127.981;1.838;1
128.501;2.356;1
129.401;1.367;1
129.475;1.438;1
129.658;1.619;1
129.818;1.776;1
129.894;1.85;1
130.128;2.082;1
131.679;1.479;1
131.756;1.553;1
131.915;1.71;1
