Date_ms;response_time_ms;rtd_no
15.108;11.98;1
15.348;12.193;1
15.463;12.325;1
15.959;9.857;1
16.53;10.421;1
16.644;10.508;1
16.752;10.605;1
16.867;7.874;1
17.085;8.065;1
17.392;7.268;1
17.575;7.44;1
17.689;7.55;1
17.801;7.655;1
17.968;7.819;1
18.711;8.555;1
21.944;9.233;1
22.234;9.518;1
22.349;9.626;1
22.653;9.926;1
22.766;10.032;1
22.874;10.137;1
22.983;8.224;1
23.217;8.454;1
23.454;8.683;1
25.138;10.364;1
25.658;10.878;1
25.932;9.89;1
26.471;10.42;1
26.582;10.524;1
27.832;9.733;1
27.946;9.843;1
29.775;8.741;1
29.991;8.943;1
30.447;9.379;1
36.217;10.207;1
36.929;10.906;1
37.034;11.006;1
37.129;11.098;1
37.219;11.184;1
37.413;9.396;1
37.57;9.547;1
37.726;9.699;1
37.846;9.815;1
37.978;9.943;1
38.873;10.835;1
39.017;8.906;1
39.172;7.005;1
39.278;7.106;1
39.381;7.204;1
39.48;7.286;1
39.572;7.374;1
45.342;9.023;1
45.49;9.166;1
45.646;9.317;1
45.805;9.472;1
45.886;9.549;1
45.99;9.649;1
46.783;10.438;1
46.918;10.568;1
47.012;10.658;1
47.111;10.752;1
47.218;10.854;1
47.322;10.954;1
47.629;9.509;1
47.756;9.63;1
47.867;9.736;1
47.97;9.835;1
48.791;10.651;1
48.907;10.763;1
53.407;9.116;1
53.583;9.279;1
53.722;9.413;1
53.927;9.614;1
54.41;10.089;1
54.515;10.189;1
54.617;10.287;1
54.75;10.415;1
54.855;10.511;1
54.964;10.615;1
55.075;10.713;1
55.182;10.815;1
55.287;10.916;1
55.413;11.037;1
55.518;11.136;1
55.619;11.232;1
55.716;11.323;1
55.812;11.41;1
58.972;12.909;1
59.081;13.006;1
59.179;13.1;1
59.279;13.197;1
59.396;13.309;1
59.505;13.414;1
59.815;7.36;1
59.94;7.475;1
60.826;6.813;1
63.95;7.907;1
64.411;5.733;1
64.536;5.854;1
66.565;6.527;1
66.677;6.621;1
67.948;4.941;1
68.602;5.59;1
68.722;5.705;1
68.816;5.793;1
68.944;5.916;1
69.071;6.018;1
69.185;5.161;1
69.277;5.225;1
69.378;5.323;1
69.542;5.484;1
69.651;5.59;1
69.74;5.677;1
71.697;5.636;1
71.805;5.739;1
71.908;5.837;1
72.008;5.895;1
72.514;6.374;1
72.623;6.474;1
73.298;5.208;1
73.409;5.217;1
75.208;4.264;1
75.319;4.351;1
75.518;4.547;1
76.525;4.442;1
76.633;4.546;1
78.482;4.116;1
78.65;4.279;1
78.752;4.377;1
78.852;4.473;1
78.95;4.549;1
79.048;4.634;1
80.673;4.651;1
80.803;4.777;1
80.906;4.876;1
81.007;4.973;1
81.105;5.067;1
81.203;5.162;1
83.061;4.929;1
83.217;5.08;1
83.381;5.24;1
83.482;5.338;1
83.581;5.433;1
83.677;5.525;1
85.544;5.355;1
85.652;5.458;1
87.551;4.986;1
87.711;5.135;1
89.843;4.873;1
90.11;5.136;1
92.501;5.494;1
92.633;5.621;1
92.756;5.74;1
92.854;5.834;1
92.951;5.881;1
94.504;5.438;1
94.611;5.541;1
96.577;5.178;1
96.683;5.279;1
96.78;5.372;1
96.876;5.465;1
97.327;4.309;1
97.462;4.422;1
99.39;3.367;1
99.518;3.49;1
99.712;3.68;1
99.834;3.798;1
100.219;4.156;1
100.327;4.252;1
100.425;4.347;1
100.522;4.391;1
100.619;4.475;1
102.462;5.427;1
102.567;5.528;1
102.665;5.589;1
104.497;5.46;1
104.643;5.602;1
104.743;5.69;1
104.841;5.784;1
104.936;5.873;1
106.508;4.652;1
106.614;4.753;1
107.846;3.89;1
107.998;4.037;1
108.164;4.199;1
108.322;4.353;1
108.422;4.449;1
108.517;4.541;1
110.461;4.545;1
110.704;4.744;1
110.81;4.847;1
112.776;5.287;1
112.92;5.426;1
113.044;5.546;1
113.163;5.662;1
113.26;5.755;1
113.356;5.847;1
114.933;5.138;1
115.039;5.239;1
115.136;5.332;1
115.23;5.415;1
116.61;4.445;1
116.717;4.548;1
116.867;4.694;1
116.996;4.819;1
117.095;4.914;1
117.19;5.006;1
117.276;5.088;1
119.06;4.725;1
119.167;4.827;1
119.264;4.92;1
119.36;5.013;1
119.455;5.105;1
119.551;5.197;1
121.241;5.168;1
121.347;5.259;1
123.285;4.984;1
123.43;5.124;1
123.529;5.219;1
123.624;5.277;1
125.342;4.527;1
125.462;4.642;1
125.56;4.736;1
125.655;4.828;1
125.749;4.918;1
127.599;4.932;1
127.703;5.012;1
129.569;4.821;1
131.996;4.857;1
132.199;5.055;1
132.305;5.157;1
132.403;5.252;1
132.5;5.345;1
132.596;5.43;1
132.692;5.522;1
132.787;5.614;1
132.882;5.702;1
134.332;5.316;1
134.434;5.413;1
134.532;5.5;1
134.627;5.591;1
136.188;4.692;1
136.295;4.794;1
136.441;4.936;1
