StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:36:56.023352	1429691816.023352;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:36:56.024829	1429691816.024829;2015-04-22	08:36:57.024290	1429691817.024290;00:00:00;00:00:01;10;2952.95;2944.11;2950;2950;0;0;2950;2950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;2944;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:36:57.024381	1429691817.024381;2015-04-22	08:36:58.026282	1429691818.026282;00:00:01;00:00:02;10;2991.01;2966.07;2994;5944;0;0;5944;5944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;5936;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:36:58.026410	1429691818.026410;2015-04-22	08:36:59.028247	1429691819.028247;00:00:01;00:00:03;10;2994.01;2974.38;2997;8941;0;0;8941;8941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;8894;2;2;1;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:36:59.028340	1429691819.028340;2015-04-22	08:37:00.030312	1429691820.030312;00:00:01;00:00:04;10;2994.01;2978.54;2997;11938;0;0;11938;11938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;38;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;11894;2;2;1;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:37:00.030402	1429691820.030402;2015-04-22	08:37:01.038368	1429691821.038368;00:00:01;00:00:05;10;2942.4;2970.69;2963;14901;0;0;14901;11941;2960;2960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:000000;00:00:00:001000;00:00:00:001000;00:00:04:004000;00:00:04:004000;00:00:00:001000;00:00:00:001000;;14825;19;5;1;0;0;0;0;0;;0;0;0;0;0;2960;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:37:01.038481	1429691821.038481;2015-04-22	08:37:02.040732	1429691822.040732;00:00:01;00:00:06;10;3039.92;2982.22;3046;17947;0;0;17947;11975;3012;5972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;58;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:000000;00:00:00:001000;00:00:00:001000;00:00:04:004000;00:00:04:004000;00:00:00:000000;00:00:00:001000;;17849;39;6;1;0;0;0;0;0;;0;0;0;0;0;5972;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:37:02.040824	1429691822.040824;2015-04-22	08:37:03.042308	1429691823.042308;00:00:01;00:00:07;10;2987.01;2982.48;2990;20937;0;0;20937;11985;2980;8952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;59;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:04:006000;00:00:04:005000;00:00:00:033000;00:00:00:019000;;20837;39;6;1;0;0;0;0;0;;0;0;0;0;0;8952;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:37:03.042519	1429691823.042519;2015-04-22	08:37:04.044251	1429691824.044251;00:00:01;00:00:08;10;2991.01;2983.17;2994;23931;0;0;23931;11982;2997;11949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:04:004000;00:00:04:005000;00:00:00:000000;00:00:00:016000;;23831;39;6;1;0;0;0;0;0;;0;0;0;0;0;11949;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:37:04.044383	1429691824.044383;2015-04-22	08:37:05.046284	1429691825.046284;00:00:01;00:00:09;10;2991.01;2983.71;2994;26925;0;0;26925;12047;2929;14878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;60;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:04:005000;00:00:04:005000;00:00:00:020000;00:00:00:017000;;26824;39;6;1;0;0;0;0;0;;0;0;0;0;0;14878;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:37:05.046371	1429691825.046371;2015-04-22	08:37:06.047318	1429691826.047318;00:00:01;00:00:10;10;2971;2982.14;2971;29896;0;0;29896;11958;3060;17938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;79;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:04:005000;00:00:04:005000;00:00:00:015000;00:00:00:017000;;29756;50;7;1;0;0;0;0;0;;0;0;0;0;0;17938;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:37:06.047404	1429691826.047404;2015-04-22	08:37:07.049402	1429691827.049402;00:00:01;00:00:11;10;2988.01;2982.41;2991;32887;0;0;32887;11961;2988;20926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;101;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:000000;00:00:00:003000;00:00:00:001000;00:00:04:004000;00:00:04:005000;00:00:00:000000;00:00:00:016000;;32729;50;7;1;0;6;0;0;0;;0;0;0;0;0;20926;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:37:07.049494	1429691827.049494;2015-04-22	08:37:08.051283	1429691828.051283;00:00:01;00:00:12;10;2989.01;2982.71;2992;35879;0;0;35879;11962;2991;23917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;123;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:04:004000;00:00:04:005000;00:00:00:000000;00:00:00:015000;;35721;50;7;1;0;6;0;0;0;;0;0;0;0;0;23917;0;0;
2015-04-22	08:36:56.021746	1429691816.021746;2015-04-22	08:37:08.051398	1429691828.051398;2015-04-22	08:37:09.053362	1429691829.053362;00:00:01;00:00:13;10;2991.01;2983.12;2994;38873;0;0;38873;11960;2996;26913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;128;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:04:004000;00:00:04:005000;00:00:00:001000;00:00:00:014000;;38704;51;7;1;0;6;0;0;0;;0;0;0;0;0;26913;0;0;
