Date_ms;response_time_ms;rtd_no
17.287;4.237;1
17.627;4.295;1
17.788;4.329;1
17.832;4.159;1
19.476;2.498;1
19.598;2.466;1
20.183;2.114;1
20.256;1.81;1
21.117;2.086;1
21.218;2.048;1
21.261;2.702;1
21.835;3.122;1
21.877;1.833;1
22.619;2.027;1
22.996;2.52;1
23.549;2.819;1
23.908;4.274;1
23.951;4.175;1
24.049;4.139;1
24.715;3.41;1
24.785;3.312;1
24.946;3.34;1
25.499;3.561;1
25.544;3.292;1
26.164;3.13;1
26.235;2.916;1
26.901;3.311;1
26.947;3.22;1
27.013;2.608;1
27.183;2.629;1
27.776;2.561;1
28.424;3.067;1
28.512;2.764;1
28.555;2.53;1
29.22;2.694;1
29.292;2.555;1
29.769;2.318;1
29.813;2.202;1
30.924;2.924;1
30.972;2.842;1
31.011;2.742;1
31.237;2.429;1
31.636;2.557;1
31.98;2.507;1
32.173;2.569;1
32.383;2.29;1
33.089;2.851;1
33.134;2.489;1
33.169;2.381;1
33.721;2.401;1
33.857;2.371;1
34.816;2.783;1
34.894;2.68;1
34.937;2.305;1
35.386;2.036;1
35.425;1.939;1
36.248;3.485;1
36.34;2.389;1
36.382;2.17;1
36.418;1.913;1
36.483;1.832;1
37.184;2.057;1
37.263;1.997;1
37.465;1.838;1
37.833;2.064;1
38.438;2.441;1
38.507;2.383;1
39.039;2.301;1
39.083;2.073;1
39.3;1.792;1
39.753;2.074;1
40.995;2.223;1
41.039;2.143;1
41.074;2.925;1
41.106;2.829;1
41.137;1.796;1
41.635;1.683;1
41.678;2.147;1
41.719;1.633;1
42.343;1.988;1
42.389;1.83;1
42.492;1.719;1
43.002;1.648;1
43.328;1.835;1
43.508;1.583;1
43.966;1.839;1
44.009;1.241;1
44.05;1.007;1
44.087;0.893;1
45.818;2.182;1
45.867;2.091;1
46.773;1.716;1
46.895;1.62;1
46.936;1.517;1
46.973;1.428;1
48.007;2.331;1
48.08;1.854;1
48.377;1.999;1
48.444;1.884;1
48.485;1.181;1
48.548;1.081;1
49.093;1.349;1
49.204;1.33;1
49.249;1.141;1
49.288;1.068;1
50.305;1.655;1
50.812;1.985;1
50.855;1.143;1
50.894;0.973;1
51.746;1.4;1
51.928;1.439;1
52.482;1.835;1
53.238;1.67;1
53.608;1.817;1
53.65;1.451;1
53.718;1.385;1
54.084;1.256;1
54.123;1.087;1
54.217;0.935;1
54.989;1.546;1
55.321;1.538;1
55.682;1.768;1
55.73;1.208;1
55.77;1.016;1
56.056;0.877;1
56.348;0.984;1
56.582;1.053;1
58.19;1.569;1
58.599;1.845;1
58.672;1.703;1
59.491;2.075;1
59.538;1.945;1
59.579;1.525;1
59.637;1.337;1
59.659;1.222;1
59.891;1.017;1
60.372;1.297;1
61.341;2.134;1
61.678;2.337;1
62.035;1.255;1
62.379;1.456;1
62.425;1.378;1
