Date_ms;response_time_ms;rtd_no
12.876;2.677;1
15.06;4.58;1
15.107;4.389;1
15.147;4.277;1
15.186;4.186;1
15.225;4.09;1
15.267;3.985;1
15.309;2.923;1
15.387;2.797;1
17.211;3.89;1
17.391;3.913;1
17.437;3.786;1
17.48;3.601;1
17.522;3.426;1
17.602;3.31;1
17.646;3.209;1
17.747;3.061;1
19.414;4.505;1
19.462;3.177;1
19.501;3.052;1
19.573;2.983;1
19.62;2.883;1
21.153;4.279;1
21.202;4.146;1
21.322;2.796;1
21.368;2.7;1
21.439;2.629;1
23.275;4.327;1
23.329;4.233;1
23.372;4.138;1
23.415;3.222;1
23.46;3.085;1
23.501;2.952;1
26.178;5.482;1
26.235;5.399;1
26.28;5.303;1
26.324;4.377;1
26.369;4.207;1
26.412;3.975;1
26.453;3.74;1
28;5.139;1
28.099;5.063;1
28.146;3.851;1
28.191;3.752;1
28.232;3.645;1
28.274;3.542;1
29.882;4.005;1
29.997;3.971;1
31.385;4.364;1
31.433;4.259;1
31.504;4.158;1
31.547;4.045;1
31.587;3.945;1
31.685;3.861;1
31.765;2.904;1
33.435;4.428;1
33.529;4.372;1
33.574;4.225;1
33.617;4.117;1
33.691;4.022;1
33.738;3.4;1
33.81;3.291;1
33.949;3.181;1
35.432;4.529;1
35.477;4.428;1
35.518;4.301;1
35.557;3.145;1
35.592;3.03;1
35.614;2.915;1
35.646;2.802;1
37.328;4.338;1
37.4;4.238;1
37.435;2.726;1
37.466;2.633;1
38.824;3.876;1
38.901;3.849;1
38.938;3.756;1
38.968;3.647;1
39.031;2.598;1
39.078;2.461;1
39.121;2.388;1
40.307;3.45;1
40.419;3.424;1
40.464;3.345;1
40.532;2.597;1
40.573;2.479;1
40.637;2.373;1
40.677;2.267;1
40.737;2.193;1
40.762;2.073;1
42.559;3.067;1
42.735;3.128;1
42.78;3.008;1
42.842;2.942;1
42.871;2.845;1
42.914;2.732;1
44.278;2.651;1
44.348;2.624;1
44.382;2.401;1
44.422;2.312;1
44.465;2.187;1
44.492;2.079;1
45.774;2.397;1
45.878;2.361;1
45.979;2.302;1
46.104;2.289;1
46.174;2.231;1
46.268;2.123;1
47.665;2.699;1
47.7;2.575;1
47.744;2.478;1
47.823;2.466;1
47.933;2.445;1
48.016;2.387;1
48.056;1.211;1
49.366;2.395;1
49.41;2.322;1
49.453;2.242;1
49.495;2.145;1
49.562;2.065;1
49.599;1.09;1
49.62;0.953;1
49.639;0.842;1
49.748;0.839;1
51.511;2.456;1
51.634;2.46;1
51.676;1.124;1
51.715;1.017;1
52.997;2.071;1
54.826;3.756;1
54.906;3.7;1
55.003;3.671;1
56.317;2.704;1
56.365;2.637;1
56.408;2.564;1
56.446;2.47;1
56.517;2.399;1
56.557;2.282;1
56.594;2.184;1
56.632;2.079;1
56.701;2.013;1
56.74;1.325;1
56.778;1.21;1
56.843;1.131;1
56.935;1.069;1
58.92;2.915;1
58.967;2.842;1
60.255;2.224;1
60.296;2.13;1
60.331;2.052;1
60.354;1.95;1
60.383;1.848;1
60.422;1.67;1
60.493;1.183;1
60.565;1.099;1
60.602;0.97;1
60.667;0.893;1
60.709;0.793;1
62.544;2.454;1
62.577;0.863;1
62.84;1.005;1
64.078;2.121;1
64.148;2.06;1
64.183;1.942;1
64.244;1.877;1
64.289;1.13;1
64.33;1.009;1
64.393;0.893;1
64.435;0.811;1
64.49;0.707;1
66.412;2.476;1
66.458;0.875;1
66.526;0.804;1
66.681;0.826;1
67.945;1.948;1
68.015;1.884;1
68.078;1.823;1
68.118;1.042;1
68.163;0.944;1
68.205;0.842;1
68.299;0.796;1
68.335;0.7;1
68.532;0.77;1
72.115;1.54;1
72.19;1.397;1
73.318;2.393;1
73.39;2.342;1
73.43;2.238;1
73.475;2.129;1
73.549;2.027;1
73.589;1.857;1
73.628;1.695;1
73.697;1.345;1
73.791;1.217;1
73.864;1.167;1
73.933;1.079;1
75.624;2.632;1
75.67;2.558;1
75.699;0.917;1
75.721;0.806;1
77.161;2.124;1
77.207;2.045;1
77.299;2.014;1
77.345;1.921;1
77.386;1.184;1
77.425;1.02;1
77.464;0.917;1
77.534;0.849;1
77.634;0.817;1
79.439;2.485;1
79.486;1.013;1
79.525;0.835;1
79.704;0.882;1
81.103;2.145;1
81.149;2.063;1
81.192;1.927;1
81.289;1.022;1
81.337;0.953;1
81.409;0.892;1
81.449;0.816;1
81.543;0.758;1
83.121;2.2;1
83.166;0.814;1
83.263;0.795;1
83.435;0.868;1
83.614;0.892;1
85.087;2.24;1
85.135;2.162;1
85.203;0.912;1
85.3;0.869;1
85.344;0.801;1
85.486;0.828;1
85.617;0.824;1
87.08;2.157;1
87.114;0.839;1
87.311;0.918;1
87.384;0.868;1
87.413;0.768;1
87.605;0.817;1
89.184;2.267;1
89.263;0.886;1
89.415;0.902;1
89.452;0.804;1
89.566;0.781;1
90.989;2.086;1
91.026;2.002;1
91.047;1.019;1
91.067;0.908;1
91.169;0.863;1
91.266;0.818;1
91.352;0.774;1
91.632;0.823;1
93.266;0.826;1
93.341;0.783;1
93.521;0.847;1
93.692;0.917;1
94.914;2.01;1
94.961;1.92;1
95.034;0.902;1
95.165;0.891;1
95.254;0.863;1
95.284;0.785;1
95.442;0.816;1
95.555;0.78;1
99.268;1.394;1
100.183;2.182;1
100.245;2.116;1
100.283;2.04;1
100.32;1.947;1
100.38;1.862;1
100.444;1.719;1
100.483;1.529;1
100.505;1.396;1
100.524;1.211;1
100.543;1.072;1
100.58;0.974;1
100.695;0.948;1
102.749;2.865;1
102.87;2.835;1
