StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-22	08:34:28.927131	1429691668.927131;2015-04-22	08:34:28.927131	1429691668.927131;2015-04-22	08:34:28.932486	1429691668.932486;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:34:28.927131	1429691668.927131;2015-04-22	08:34:28.932830	1429691668.932830;2015-04-22	08:34:29.934373	1429691669.934373;00:00:01;00:00:01;10;4408.59;4382.32;4413;4413;0;0;4413;4413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;3940;18;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:34:28.927131	1429691668.927131;2015-04-22	08:34:29.934433	1429691669.934433;2015-04-22	08:34:30.936377	1429691670.936377;00:00:01;00:00:02;10;5465.53;4919.86;5471;9884;0;0;9884;9884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;59;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:003000;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;9280;18;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-22	08:34:28.927131	1429691668.927131;2015-04-22	08:34:30.936475	1429691670.936475;2015-04-22	08:34:31.937391	1429691671.937391;00:00:01;00:00:03;10;4977;4937.21;4977;14861;0;0;14861;14858;0;0;3;3;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;93;0;0;3;3;0;0;0;0;0;0;00:00:00:001000;00:00:00:002000;00:00:00:012000;00:00:00:007000;00:00:00:499000;00:00:00:499000;00:00:00:000000;00:00:00:000000;;14207;18;4;4;0;0;0;0;3;;0;0;0;3;0;0;0;0;
2015-04-22	08:34:28.927131	1429691668.927131;2015-04-22	08:34:31.937490	1429691671.937490;2015-04-22	08:34:32.938363	1429691672.938363;00:00:01;00:00:04;10;5076;4970.58;5076;19937;0;0;19937;19933;0;0;1;4;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;24;117;0;0;4;7;0;0;0;0;0;0;00:00:00:001000;00:00:00:002000;00:00:00:007000;00:00:00:007000;00:00:00:492000;00:00:00:497000;2562047788015:12:55:808000;00:00:00:003000;;19265;18;4;4;0;0;0;0;4;;0;0;0;4;0;0;0;0;
2015-04-22	08:34:28.927131	1429691668.927131;2015-04-22	08:34:32.938501	1429691672.938501;2015-04-22	08:34:33.944727	1429691673.944727;00:00:01;00:00:05;10;4929.42;4962.33;4959;24896;0;0;24896;20639;4239;4239;14;18;0;0;0;0;0;0;0;0;14;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;18;59;176;0;0;29;36;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:012000;00:00:00:008000;00:00:04:004000;00:00:04:001000;00:00:00:211000;00:00:00:237000;;24186;28;4;4;0;0;0;0;7;;0;0;0;4;14;4239;0;0;
2015-04-22	08:34:28.927131	1429691668.927131;2015-04-22	08:34:33.944820	1429691673.944820;2015-04-22	08:34:34.945400	1429691674.945400;00:00:01;00:00:06;10;4851;4943;4851;29747;0;0;29747;19843;5621;9860;26;44;0;0;0;0;0;0;0;0;26;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;31;60;236;0;0;39;75;0;0;0;0;0;0;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:008000;00:00:04:004000;00:00:04:003000;00:00:00:254000;00:00:00:247000;;28520;56;5;4;6;0;0;0;7;;0;0;0;29;15;9860;0;0;
2015-04-22	08:34:28.927131	1429691668.927131;2015-04-22	08:34:34.945478	1429691674.945478;2015-04-22	08:34:35.947366	1429691675.947366;00:00:01;00:00:07;10;5113.89;4966.67;5119;34866;0;0;34866;19911;4970;14830;81;125;0;0;0;0;0;0;0;0;81;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;160;256;492;0;0;210;285;0;0;0;0;0;0;00:00:00:007000;00:00:00:003000;00:00:00:051000;00:00:00:021000;00:00:03:949000;00:00:03:984000;00:00:00:441000;00:00:00:326000;;33553;56;5;4;6;0;0;0;61;;0;0;0;49;76;14830;0;0;
2015-04-22	08:34:28.927131	1429691668.927131;2015-04-22	08:34:35.947455	1429691675.947455;2015-04-22	08:34:36.949412	1429691676.949412;00:00:01;00:00:08;10;5034.96;4974.57;5040;39906;0;0;39906;19850;5089;19919;12;137;0;0;0;0;0;0;0;0;12;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;267;39;531;0;0;119;404;0;0;0;0;0;0;00:00:00:002000;00:00:00:003000;00:00:00:018000;00:00:00:021000;00:00:03:998000;00:00:03:988000;00:00:00:173000;00:00:00:295000;;38569;56;5;4;6;0;0;0;68;;0;0;0;49;88;19919;0;0;
2015-04-22	08:34:28.927131	1429691668.927131;2015-04-22	08:34:36.949469	1429691676.949469;2015-04-22	08:34:37.950453	1429691677.950453;00:00:01;00:00:09;10;4955;4971.85;4955;44861;0;0;44861;19914;4891;24810;0;137;0;0;0;0;0;0;0;0;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;313;85;616;0;0;46;450;0;0;0;0;0;0;00:00:00:002000;00:00:00:003000;00:00:00:001000;00:00:00:019000;00:00:04:004000;00:00:03:991000;00:00:00:012000;00:00:00:265000;;43461;71;5;4;6;0;0;0;68;;0;0;0;49;88;24810;0;0;
