StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-01	04:03:05.838093	1427860985.838093;2015-04-01	04:03:05.838093	1427860985.838093;2015-04-01	04:03:05.842279	1427860985.842279;00:00:00;00:00:00;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	04:03:05.838093	1427860985.838093;2015-04-01	04:03:05.842657	1427860985.842657;2015-04-01	04:03:06.844238	1427860986.844238;00:00:01;00:00:01;50;48.951;48.7078;0;0;49;49;49;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;49;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	04:03:05.838093	1427860985.838093;2015-04-01	04:03:06.844349	1427860986.844349;2015-04-01	04:03:07.845068	1427860987.845068;00:00:01;00:00:02;50;51;49.8504;0;0;51;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;99;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	04:03:05.838093	1427860985.838093;2015-04-01	04:03:07.845253	1427860987.845253;2015-04-01	04:03:08.847388	1427860988.847388;00:00:01;00:00:03;50;49.9002;49.8504;0;0;50;150;150;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;150;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	04:03:05.838093	1427860985.838093;2015-04-01	04:03:08.847505	1427860988.847505;2015-04-01	04:03:09.848653	1427860989.848653;00:00:01;00:00:04;50;49.9501;49.8753;0;0;50;200;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;200;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	04:03:05.838093	1427860985.838093;2015-04-01	04:03:09.848769	1427860989.848769;2015-04-01	04:03:10.849918	1427860990.849918;00:00:01;00:00:05;50;49.9501;49.8902;0;0;50;250;250;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:002000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;250;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	04:03:05.838093	1427860985.838093;2015-04-01	04:03:10.850049	1427860990.850049;2015-04-01	04:03:11.850319	1427860991.850319;00:00:01;00:00:06;50;50;49.9002;0;0;50;300;300;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:002000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;299;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	04:03:05.838093	1427860985.838093;2015-04-01	04:03:11.850427	1427860991.850427;2015-04-01	04:03:12.852696	1427860992.852696;00:00:01;00:00:07;50;49.9002;49.9002;0;0;50;350;350;350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:002000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;350;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	04:03:05.838093	1427860985.838093;2015-04-01	04:03:12.852814	1427860992.852814;2015-04-01	04:03:13.853520	1427860993.853520;00:00:01;00:00:08;50;50;49.9064;0;0;50;400;400;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:003000;00:00:00:002000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;399;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	04:03:05.838093	1427860985.838093;2015-04-01	04:03:13.853635	1427860993.853635;2015-04-01	04:03:14.855700	1427860994.855700;00:00:01;00:00:09;50;49.9002;49.9057;0;0;50;450;450;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:003000;00:00:00:003000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;447;3;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
