StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2015-04-01	03:04:46.855464	1427857486.855464;2015-04-01	03:04:46.855464	1427857486.855464;2015-04-01	03:04:46.857319	1427857486.857319;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	03:04:46.855464	1427857486.855464;2015-04-01	03:04:46.857727	1427857486.857727;2015-04-01	03:04:47.858746	1427857487.858746;00:00:01;00:00:01;10;28.971;28.9133;29;29;0;0;29;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;29;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	03:04:46.855464	1427857486.855464;2015-04-01	03:04:47.858870	1427857487.858870;2015-04-01	03:04:48.860770	1427857488.860770;00:00:01;00:00:02;10;29.97;29.4264;30;59;0;0;59;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;59;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	03:04:46.855464	1427857486.855464;2015-04-01	03:04:48.860919	1427857488.860919;2015-04-01	03:04:49.862904	1427857489.862904;00:00:01;00:00:03;10;30.969;29.9302;31;90;0;0;90;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;89;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	03:04:46.855464	1427857486.855464;2015-04-01	03:04:49.863017	1427857489.863017;2015-04-01	03:04:50.865163	1427857490.865163;00:00:01;00:00:04;10;29.9401;29.9327;30;120;0;0;120;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;120;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	03:04:46.855464	1427857486.855464;2015-04-01	03:04:50.865276	1427857490.865276;2015-04-01	03:04:51.866017	1427857491.866017;00:00:01;00:00:05;10;30;29.9401;30;150;0;0;150;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;150;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	03:04:46.855464	1427857486.855464;2015-04-01	03:04:51.866263	1427857491.866263;2015-04-01	03:04:52.866239	1427857492.866239;00:00:00;00:00:06;10;30.03;29.9501;30;180;0;0;180;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;180;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	03:04:46.855464	1427857486.855464;2015-04-01	03:04:52.866518	1427857492.866518;2015-04-01	03:04:53.868556	1427857493.868556;00:00:01;00:00:07;10;29.9401;29.9444;30;210;0;0;210;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;210;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	03:04:46.855464	1427857486.855464;2015-04-01	03:04:53.868664	1427857493.868664;2015-04-01	03:04:54.870391	1427857494.870391;00:00:01;00:00:08;10;29.97;29.9476;30;240;0;0;240;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;240;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2015-04-01	03:04:46.855464	1427857486.855464;2015-04-01	03:04:54.870526	1427857494.870526;2015-04-01	03:04:55.873206	1427857495.873206;00:00:01;00:00:09;10;29.9401;29.9434;30;270;0;0;270;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;270;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
